2018-11-29 23:09:27 Jepsen starting etcd :--log-output :stderr :--name ec2-18-234-71-213.compute-1.amazonaws.com :--listen-peer-urls http://ec2-18-234-71-213.compute-1.amazonaws.com:2380 :--listen-client-urls http://ec2-18-234-71-213.compute-1.amazonaws.com:2379 :--advertise-client-urls http://ec2-18-234-71-213.compute-1.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-18-234-71-213.compute-1.amazonaws.com:2380 :--initial-cluster ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380
2018-11-29 23:09:27.294752 I | etcdmain: etcd Version: 3.1.5
2018-11-29 23:09:27.294784 I | etcdmain: Git SHA: 20490ca
2018-11-29 23:09:27.294790 I | etcdmain: Go Version: go1.7.5
2018-11-29 23:09:27.294795 I | etcdmain: Go OS/Arch: linux/amd64
2018-11-29 23:09:27.294800 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2018-11-29 23:09:27.294809 W | etcdmain: no data-dir provided, using default data-dir ./ec2-18-234-71-213.compute-1.amazonaws.com.etcd
2018-11-29 23:09:27.294829 W | embed: expected IP in URL for binding (http://ec2-18-234-71-213.compute-1.amazonaws.com:2380)
2018-11-29 23:09:27.294837 W | embed: expected IP in URL for binding (http://ec2-18-234-71-213.compute-1.amazonaws.com:2379)
2018-11-29 23:09:27.306461 I | embed: listening for peers on http://ec2-18-234-71-213.compute-1.amazonaws.com:2380
2018-11-29 23:09:27.307037 I | embed: listening for client requests on ec2-18-234-71-213.compute-1.amazonaws.com:2379
2018-11-29 23:09:27.311789 I | pkg/netutil: resolving ec2-18-234-71-213.compute-1.amazonaws.com:2380 to 172.31.20.192:2380
2018-11-29 23:09:27.312206 I | pkg/netutil: resolving ec2-18-234-71-213.compute-1.amazonaws.com:2380 to 172.31.20.192:2380
2018-11-29 23:09:31.313169 I | etcdserver: name = ec2-18-234-71-213.compute-1.amazonaws.com
2018-11-29 23:09:31.313200 I | etcdserver: data dir = ec2-18-234-71-213.compute-1.amazonaws.com.etcd
2018-11-29 23:09:31.313208 I | etcdserver: member dir = ec2-18-234-71-213.compute-1.amazonaws.com.etcd/member
2018-11-29 23:09:31.313214 I | etcdserver: heartbeat = 100ms
2018-11-29 23:09:31.313219 I | etcdserver: election = 1000ms
2018-11-29 23:09:31.313224 I | etcdserver: snapshot count = 10000
2018-11-29 23:09:31.313237 I | etcdserver: advertise client URLs = http://ec2-18-234-71-213.compute-1.amazonaws.com:2379
2018-11-29 23:09:31.313245 I | etcdserver: initial advertise peer URLs = http://ec2-18-234-71-213.compute-1.amazonaws.com:2380
2018-11-29 23:09:31.313291 I | etcdserver: initial cluster = ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380,ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380
2018-11-29 23:09:31.317677 I | etcdserver: starting member b230326f6c733c35 in cluster d4e906640f16da25
2018-11-29 23:09:31.317707 I | raft: b230326f6c733c35 became follower at term 0
2018-11-29 23:09:31.317718 I | raft: newRaft b230326f6c733c35 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2018-11-29 23:09:31.317724 I | raft: b230326f6c733c35 became follower at term 1
2018-11-29 23:09:31.330225 I | rafthttp: starting peer 2d508dd0aa9ee691...
2018-11-29 23:09:31.330265 I | rafthttp: started HTTP pipelining with peer 2d508dd0aa9ee691
2018-11-29 23:09:31.331696 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 23:09:31.334838 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream Message reader)
2018-11-29 23:09:31.334892 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream MsgApp v2 reader)
2018-11-29 23:09:31.335016 I | rafthttp: started peer 2d508dd0aa9ee691
2018-11-29 23:09:31.335099 I | rafthttp: added peer 2d508dd0aa9ee691
2018-11-29 23:09:31.335123 I | rafthttp: starting peer 3474e3739df12d31...
2018-11-29 23:09:31.335136 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
