2018-11-29 22:10:57 Jepsen starting etcd :--log-output :stderr :--name ec2-18-232-141-137.compute-1.amazonaws.com :--listen-peer-urls http://ec2-18-232-141-137.compute-1.amazonaws.com:2380 :--listen-client-urls http://ec2-18-232-141-137.compute-1.amazonaws.com:2379 :--advertise-client-urls http://ec2-18-232-141-137.compute-1.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-18-232-141-137.compute-1.amazonaws.com:2380 :--initial-cluster ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380
2018-11-29 22:10:57.154947 I | etcdmain: etcd Version: 3.1.5
2018-11-29 22:10:57.154988 I | etcdmain: Git SHA: 20490ca
2018-11-29 22:10:57.154993 I | etcdmain: Go Version: go1.7.5
2018-11-29 22:10:57.154998 I | etcdmain: Go OS/Arch: linux/amd64
2018-11-29 22:10:57.155004 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2018-11-29 22:10:57.155012 W | etcdmain: no data-dir provided, using default data-dir ./ec2-18-232-141-137.compute-1.amazonaws.com.etcd
2018-11-29 22:10:57.155025 W | embed: expected IP in URL for binding (http://ec2-18-232-141-137.compute-1.amazonaws.com:2380)
2018-11-29 22:10:57.155032 W | embed: expected IP in URL for binding (http://ec2-18-232-141-137.compute-1.amazonaws.com:2379)
2018-11-29 22:10:57.157507 I | embed: listening for peers on http://ec2-18-232-141-137.compute-1.amazonaws.com:2380
2018-11-29 22:10:57.157992 I | embed: listening for client requests on ec2-18-232-141-137.compute-1.amazonaws.com:2379
2018-11-29 22:10:57.161665 I | pkg/netutil: resolving ec2-18-232-141-137.compute-1.amazonaws.com:2380 to 172.31.22.103:2380
2018-11-29 22:10:57.162149 I | pkg/netutil: resolving ec2-18-232-141-137.compute-1.amazonaws.com:2380 to 172.31.22.103:2380
2018-11-29 22:11:01.163150 I | etcdserver: name = ec2-18-232-141-137.compute-1.amazonaws.com
2018-11-29 22:11:01.163185 I | etcdserver: data dir = ec2-18-232-141-137.compute-1.amazonaws.com.etcd
2018-11-29 22:11:01.163194 I | etcdserver: member dir = ec2-18-232-141-137.compute-1.amazonaws.com.etcd/member
2018-11-29 22:11:01.163200 I | etcdserver: heartbeat = 100ms
2018-11-29 22:11:01.163206 I | etcdserver: election = 1000ms
2018-11-29 22:11:01.163212 I | etcdserver: snapshot count = 10000
2018-11-29 22:11:01.163240 I | etcdserver: advertise client URLs = http://ec2-18-232-141-137.compute-1.amazonaws.com:2379
2018-11-29 22:11:01.163249 I | etcdserver: initial advertise peer URLs = http://ec2-18-232-141-137.compute-1.amazonaws.com:2380
2018-11-29 22:11:01.163276 I | etcdserver: initial cluster = ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380,ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380
2018-11-29 22:11:01.167948 I | etcdserver: starting member cecac79a73f45067 in cluster d4e906640f16da25
2018-11-29 22:11:01.167975 I | raft: cecac79a73f45067 became follower at term 0
2018-11-29 22:11:01.167985 I | raft: newRaft cecac79a73f45067 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2018-11-29 22:11:01.167992 I | raft: cecac79a73f45067 became follower at term 1
2018-11-29 22:11:01.178254 I | rafthttp: starting peer 2d508dd0aa9ee691...
2018-11-29 22:11:01.178298 I | rafthttp: started HTTP pipelining with peer 2d508dd0aa9ee691
2018-11-29 22:11:01.180670 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 22:11:01.182901 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 22:11:01.182930 I | rafthttp: started peer 2d508dd0aa9ee691
2018-11-29 22:11:01.182956 I | rafthttp: added peer 2d508dd0aa9ee691
2018-11-29 22:11:01.182982 I | rafthttp: starting peer 3474e3739df12d31...
2018-11-29 22:11:01.183006 I | rafthttp: started HTTP pipelining with peer 3474e3739df12d31
2018-11-29 22:11:01.183177 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream MsgApp v2 reader)
2018-11-29 22:11:01.183273 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream Message reader)
2018-11-29 22:11:01.185558 I | rafthttp: started peer 3474e3739df12d31
2018-11-29 22:11:01.185584 I | rafthttp: added peer 3474e3739df12d31
2018-11-29 22:11:01.185602 I | rafthttp: starting peer a00c92baa5af8639...
2018-11-29 22:11:01.185633 I | rafthttp: started HTTP pipelining with peer a00c92baa5af8639
2018-11-29 22:11:01.185904 I | rafthttp: started streaming with peer a00c92baa5af8639 (writer)
2018-11-29 22:11:01.186732 I | rafthttp: started streaming with peer 3474e3739df12d31 (stream MsgApp v2 reader)
2018-11-29 22:11:01.187011 I | rafthttp: started streaming with peer 3474e3739df12d31 (stream Message reader)
2018-11-29 22:11:01.187170 I | rafthttp: started streaming with peer 3474e3739df12d31 (writer)
2018-11-29 22:11:01.187191 I | rafthttp: started streaming with peer 3474e3739df12d31 (writer)
2018-11-29 22:11:01.187327 I | rafthttp: started peer a00c92baa5af8639
2018-11-29 22:11:01.187365 I | rafthttp: added peer a00c92baa5af8639
2018-11-29 22:11:01.187384 I | rafthttp: starting peer b230326f6c733c35...
2018-11-29 22:11:01.187407 I | rafthttp: started HTTP pipelining with peer b230326f6c733c35
2018-11-29 22:11:01.187416 I | rafthttp: started streaming with peer a00c92baa5af8639 (writer)
2018-11-29 22:11:01.188404 I | rafthttp: started streaming with peer a00c92baa5af8639 (stream MsgApp v2 reader)
2018-11-29 22:11:01.188619 I | rafthttp: started streaming with peer b230326f6c733c35 (writer)
2018-11-29 22:11:01.190792 I | rafthttp: started peer b230326f6c733c35
2018-11-29 22:11:01.190818 I | rafthttp: added peer b230326f6c733c35
2018-11-29 22:11:01.190838 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2018-11-29 22:11:01.190980 I | rafthttp: started streaming with peer a00c92baa5af8639 (stream Message reader)
2018-11-29 22:11:01.191391 I | rafthttp: started streaming with peer b230326f6c733c35 (writer)
2018-11-29 22:11:01.191431 I | rafthttp: started streaming with peer b230326f6c733c35 (stream MsgApp v2 reader)
2018-11-29 22:11:01.191702 I | rafthttp: started streaming with peer b230326f6c733c35 (stream Message reader)
2018-11-29 22:11:01.194028 I | etcdserver/membership: added member 2d508dd0aa9ee691 [http://ec2-107-23-238-236.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 22:11:01.194138 I | etcdserver/membership: added member 3474e3739df12d31 [http://ec2-35-174-16-155.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 22:11:01.194264 I | etcdserver/membership: added member a00c92baa5af8639 [http://ec2-18-212-141-207.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 22:11:01.194369 I | etcdserver/membership: added member b230326f6c733c35 [http://ec2-18-234-71-213.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 22:11:01.194493 I | etcdserver/membership: added member cecac79a73f45067 [http://ec2-18-232-141-137.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 22:11:01.194558 I | rafthttp: peer 2d508dd0aa9ee691 became active
2018-11-29 22:11:01.194572 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream MsgApp v2 reader)
2018-11-29 22:11:01.196313 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream Message writer)
2018-11-29 22:11:01.196374 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream Message reader)
2018-11-29 22:11:01.196603 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream MsgApp v2 writer)
2018-11-29 22:11:01.197699 I | rafthttp: peer a00c92baa5af8639 became active
2018-11-29 22:11:01.197741 I | rafthttp: established a TCP streaming connection with peer a00c92baa5af8639 (stream Message reader)
2018-11-29 22:11:01.197900 I | rafthttp: peer b230326f6c733c35 became active
2018-11-29 22:11:01.197916 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream Message reader)
2018-11-29 22:11:01.199482 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream MsgApp v2 reader)
2018-11-29 22:11:01.200933 I | rafthttp: established a TCP streaming connection with peer a00c92baa5af8639 (stream MsgApp v2 reader)
2018-11-29 22:11:01.201286 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream Message writer)
2018-11-29 22:11:01.201695 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream MsgApp v2 writer)
2018-11-29 22:11:01.204049 I | rafthttp: established a TCP streaming connection with peer a00c92baa5af8639 (stream MsgApp v2 writer)
2018-11-29 22:11:01.204132 I | rafthttp: established a TCP streaming connection with peer a00c92baa5af8639 (stream Message writer)
2018-11-29 22:11:01.341536 I | rafthttp: peer 3474e3739df12d31 became active
2018-11-29 22:11:01.341568 I | rafthttp: established a TCP streaming connection with peer 3474e3739df12d31 (stream Message reader)
2018-11-29 22:11:01.341646 I | rafthttp: established a TCP streaming connection with peer 3474e3739df12d31 (stream MsgApp v2 reader)
2018-11-29 22:11:01.346330 I | rafthttp: established a TCP streaming connection with peer 3474e3739df12d31 (stream Message writer)
2018-11-29 22:11:01.346517 I | rafthttp: established a TCP streaming connection with peer 3474e3739df12d31 (stream MsgApp v2 writer)
2018-11-29 22:11:01.568288 I | raft: cecac79a73f45067 is starting a new election at term 1
2018-11-29 22:11:01.568366 I | raft: cecac79a73f45067 became candidate at term 2
2018-11-29 22:11:01.568382 I | raft: cecac79a73f45067 received MsgVoteResp from cecac79a73f45067 at term 2
2018-11-29 22:11:01.568393 I | raft: cecac79a73f45067 [logterm: 1, index: 5] sent MsgVote request to 2d508dd0aa9ee691 at term 2
2018-11-29 22:11:01.568404 I | raft: cecac79a73f45067 [logterm: 1, index: 5] sent MsgVote request to 3474e3739df12d31 at term 2
2018-11-29 22:11:01.568428 I | raft: cecac79a73f45067 [logterm: 1, index: 5] sent MsgVote request to a00c92baa5af8639 at term 2
2018-11-29 22:11:01.568439 I | raft: cecac79a73f45067 [logterm: 1, index: 5] sent MsgVote request to b230326f6c733c35 at term 2
2018-11-29 22:11:01.569330 I | raft: cecac79a73f45067 [logterm: 1, index: 5, vote: cecac79a73f45067] rejected MsgVote from a00c92baa5af8639 [logterm: 1, index: 5] at term 2
2018-11-29 22:11:01.569662 I | raft: cecac79a73f45067 received MsgVoteResp rejection from a00c92baa5af8639 at term 2
2018-11-29 22:11:01.569681 I | raft: cecac79a73f45067 [quorum:3] has received 1 MsgVoteResp votes and 1 vote rejections
2018-11-29 22:11:01.570301 I | raft: cecac79a73f45067 received MsgVoteResp rejection from 2d508dd0aa9ee691 at term 2
