2018-11-29 00:13:27 Jepsen starting etcd :--log-output :stderr :--name ec2-18-234-71-213.compute-1.amazonaws.com :--listen-peer-urls http://ec2-18-234-71-213.compute-1.amazonaws.com:2380 :--listen-client-urls http://ec2-18-234-71-213.compute-1.amazonaws.com:2379 :--advertise-client-urls http://ec2-18-234-71-213.compute-1.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-18-234-71-213.compute-1.amazonaws.com:2380 :--initial-cluster ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380
2018-11-29 00:13:27.279624 I | etcdmain: etcd Version: 3.1.5
2018-11-29 00:13:27.279655 I | etcdmain: Git SHA: 20490ca
2018-11-29 00:13:27.279660 I | etcdmain: Go Version: go1.7.5
2018-11-29 00:13:27.279665 I | etcdmain: Go OS/Arch: linux/amd64
2018-11-29 00:13:27.279671 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2018-11-29 00:13:27.279679 W | etcdmain: no data-dir provided, using default data-dir ./ec2-18-234-71-213.compute-1.amazonaws.com.etcd
2018-11-29 00:13:27.279692 W | embed: expected IP in URL for binding (http://ec2-18-234-71-213.compute-1.amazonaws.com:2380)
2018-11-29 00:13:27.279698 W | embed: expected IP in URL for binding (http://ec2-18-234-71-213.compute-1.amazonaws.com:2379)
2018-11-29 00:13:27.283547 I | embed: listening for peers on http://ec2-18-234-71-213.compute-1.amazonaws.com:2380
2018-11-29 00:13:27.283988 I | embed: listening for client requests on ec2-18-234-71-213.compute-1.amazonaws.com:2379
2018-11-29 00:13:28.284327 W | etcdserver: another etcd process is running with the same data dir and holding the file lock.
2018-11-29 00:13:28.284382 W | etcdserver: waiting for it to exit before starting...
2018-11-29 00:13:28.674795 I | pkg/netutil: resolving ec2-18-234-71-213.compute-1.amazonaws.com:2380 to 172.31.20.192:2380
2018-11-29 00:13:28.675381 I | pkg/netutil: resolving ec2-18-234-71-213.compute-1.amazonaws.com:2380 to 172.31.20.192:2380
2018-11-29 00:13:31.320030 I | etcdserver: name = ec2-18-234-71-213.compute-1.amazonaws.com
2018-11-29 00:13:31.320060 I | etcdserver: data dir = ec2-18-234-71-213.compute-1.amazonaws.com.etcd
2018-11-29 00:13:31.320067 I | etcdserver: member dir = ec2-18-234-71-213.compute-1.amazonaws.com.etcd/member
2018-11-29 00:13:31.320074 I | etcdserver: heartbeat = 100ms
2018-11-29 00:13:31.320079 I | etcdserver: election = 1000ms
2018-11-29 00:13:31.320084 I | etcdserver: snapshot count = 10000
2018-11-29 00:13:31.320095 I | etcdserver: advertise client URLs = http://ec2-18-234-71-213.compute-1.amazonaws.com:2379
2018-11-29 00:13:31.320102 I | etcdserver: initial advertise peer URLs = http://ec2-18-234-71-213.compute-1.amazonaws.com:2380
2018-11-29 00:13:31.320126 I | etcdserver: initial cluster = ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380,ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380
2018-11-29 00:13:31.326578 I | etcdserver: starting member b230326f6c733c35 in cluster d4e906640f16da25
2018-11-29 00:13:31.326607 I | raft: b230326f6c733c35 became follower at term 0
2018-11-29 00:13:31.326619 I | raft: newRaft b230326f6c733c35 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2018-11-29 00:13:31.326625 I | raft: b230326f6c733c35 became follower at term 1
2018-11-29 00:13:31.338883 I | rafthttp: starting peer 2d508dd0aa9ee691...
2018-11-29 00:13:31.338939 I | rafthttp: started HTTP pipelining with peer 2d508dd0aa9ee691
2018-11-29 00:13:31.340135 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 00:13:31.340428 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 00:13:31.343479 I | rafthttp: started peer 2d508dd0aa9ee691
2018-11-29 00:13:31.343507 I | rafthttp: added peer 2d508dd0aa9ee691
2018-11-29 00:13:31.343526 I | rafthttp: starting peer 3474e3739df12d31...
2018-11-29 00:13:31.343548 I | rafthttp: started HTTP pipelining with peer 3474e3739df12d31
2018-11-29 00:13:31.343963 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream MsgApp v2 reader)
2018-11-29 00:13:31.345487 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream Message reader)
2018-11-29 00:13:31.345753 I | rafthttp: started streaming with peer 3474e3739df12d31 (writer)
2018-11-29 00:13:31.347529 I | rafthttp: started peer 3474e3739df12d31
2018-11-29 00:13:31.347561 I | rafthttp: added peer 3474e3739df12d31
2018-11-29 00:13:31.347578 I | rafthttp: starting peer a00c92baa5af8639...
2018-11-29 00:13:31.347600 I | rafthttp: started HTTP pipelining with peer a00c92baa5af8639
2018-11-29 00:13:31.348743 I | rafthttp: started streaming with peer 3474e3739df12d31 (stream Message reader)
2018-11-29 00:13:31.350183 I | rafthttp: started streaming with peer 3474e3739df12d31 (writer)
2018-11-29 00:13:31.350226 I | rafthttp: started streaming with peer 3474e3739df12d31 (stream MsgApp v2 reader)
2018-11-29 00:13:31.350369 I | rafthttp: started streaming with peer a00c92baa5af8639 (writer)
2018-11-29 00:13:31.350406 I | rafthttp: started streaming with peer a00c92baa5af8639 (writer)
2018-11-29 00:13:31.350422 I | rafthttp: started peer a00c92baa5af8639
2018-11-29 00:13:31.350440 I | rafthttp: added peer a00c92baa5af8639
2018-11-29 00:13:31.350455 I | rafthttp: starting peer cecac79a73f45067...
2018-11-29 00:13:31.350477 I | rafthttp: started HTTP pipelining with peer cecac79a73f45067
2018-11-29 00:13:31.350682 I | rafthttp: started streaming with peer a00c92baa5af8639 (stream Message reader)
2018-11-29 00:13:31.350828 I | rafthttp: peer 2d508dd0aa9ee691 became active
2018-11-29 00:13:31.350844 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream Message reader)
2018-11-29 00:13:31.350911 I | rafthttp: started streaming with peer a00c92baa5af8639 (stream MsgApp v2 reader)
2018-11-29 00:13:31.352206 I | rafthttp: started peer cecac79a73f45067
2018-11-29 00:13:31.352229 I | rafthttp: added peer cecac79a73f45067
2018-11-29 00:13:31.352244 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2018-11-29 00:13:31.352480 I | rafthttp: started streaming with peer cecac79a73f45067 (writer)
2018-11-29 00:13:31.352500 I | rafthttp: started streaming with peer cecac79a73f45067 (writer)
2018-11-29 00:13:31.352543 I | rafthttp: started streaming with peer cecac79a73f45067 (stream MsgApp v2 reader)
2018-11-29 00:13:31.352703 I | rafthttp: started streaming with peer cecac79a73f45067 (stream Message reader)
2018-11-29 00:13:31.353648 I | rafthttp: peer 3474e3739df12d31 became active
2018-11-29 00:13:31.353667 I | rafthttp: established a TCP streaming connection with peer 3474e3739df12d31 (stream MsgApp v2 writer)
2018-11-29 00:13:31.354246 I | rafthttp: peer cecac79a73f45067 became active
2018-11-29 00:13:31.354265 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream Message writer)
2018-11-29 00:13:31.354459 I | etcdserver/membership: added member 2d508dd0aa9ee691 [http://ec2-107-23-238-236.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 00:13:31.354560 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream MsgApp v2 writer)
