2018-11-29 22:10:58 Jepsen starting etcd :--log-output :stderr :--name ec2-35-174-16-155.compute-1.amazonaws.com :--listen-peer-urls http://ec2-35-174-16-155.compute-1.amazonaws.com:2380 :--listen-client-urls http://ec2-35-174-16-155.compute-1.amazonaws.com:2379 :--advertise-client-urls http://ec2-35-174-16-155.compute-1.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-35-174-16-155.compute-1.amazonaws.com:2380 :--initial-cluster ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380
2018-11-29 22:10:58.440897 I | etcdmain: etcd Version: 3.1.5
2018-11-29 22:10:58.440929 I | etcdmain: Git SHA: 20490ca
2018-11-29 22:10:58.440935 I | etcdmain: Go Version: go1.7.5
2018-11-29 22:10:58.440939 I | etcdmain: Go OS/Arch: linux/amd64
2018-11-29 22:10:58.440944 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2018-11-29 22:10:58.440953 W | etcdmain: no data-dir provided, using default data-dir ./ec2-35-174-16-155.compute-1.amazonaws.com.etcd
2018-11-29 22:10:58.440965 W | embed: expected IP in URL for binding (http://ec2-35-174-16-155.compute-1.amazonaws.com:2380)
2018-11-29 22:10:58.440975 W | embed: expected IP in URL for binding (http://ec2-35-174-16-155.compute-1.amazonaws.com:2379)
2018-11-29 22:10:58.443964 I | embed: listening for peers on http://ec2-35-174-16-155.compute-1.amazonaws.com:2380
2018-11-29 22:10:58.444735 I | embed: listening for client requests on ec2-35-174-16-155.compute-1.amazonaws.com:2379
2018-11-29 22:10:58.449737 I | pkg/netutil: resolving ec2-35-174-16-155.compute-1.amazonaws.com:2380 to 172.31.21.73:2380
2018-11-29 22:10:58.450156 I | pkg/netutil: resolving ec2-35-174-16-155.compute-1.amazonaws.com:2380 to 172.31.21.73:2380
2018-11-29 22:11:02.451225 I | etcdserver: name = ec2-35-174-16-155.compute-1.amazonaws.com
2018-11-29 22:11:02.451261 I | etcdserver: data dir = ec2-35-174-16-155.compute-1.amazonaws.com.etcd
2018-11-29 22:11:02.451281 I | etcdserver: member dir = ec2-35-174-16-155.compute-1.amazonaws.com.etcd/member
2018-11-29 22:11:02.451286 I | etcdserver: heartbeat = 100ms
2018-11-29 22:11:02.451291 I | etcdserver: election = 1000ms
2018-11-29 22:11:02.451296 I | etcdserver: snapshot count = 10000
2018-11-29 22:11:02.451309 I | etcdserver: advertise client URLs = http://ec2-35-174-16-155.compute-1.amazonaws.com:2379
2018-11-29 22:11:02.451331 I | etcdserver: initial advertise peer URLs = http://ec2-35-174-16-155.compute-1.amazonaws.com:2380
2018-11-29 22:11:02.451375 I | etcdserver: initial cluster = ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380,ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380
2018-11-29 22:11:02.456254 I | etcdserver: starting member 3474e3739df12d31 in cluster d4e906640f16da25
2018-11-29 22:11:02.456282 I | raft: 3474e3739df12d31 became follower at term 0
2018-11-29 22:11:02.456293 I | raft: newRaft 3474e3739df12d31 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2018-11-29 22:11:02.456299 I | raft: 3474e3739df12d31 became follower at term 1
2018-11-29 22:11:02.610376 I | rafthttp: starting peer 2d508dd0aa9ee691...
2018-11-29 22:11:02.610434 I | rafthttp: started HTTP pipelining with peer 2d508dd0aa9ee691
2018-11-29 22:11:02.612987 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 22:11:02.615309 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 22:11:02.615337 I | rafthttp: started peer 2d508dd0aa9ee691
2018-11-29 22:11:02.615347 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream Message reader)
2018-11-29 22:11:02.615431 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream MsgApp v2 reader)
2018-11-29 22:11:02.615526 I | rafthttp: added peer 2d508dd0aa9ee691
2018-11-29 22:11:02.615572 I | rafthttp: starting peer a00c92baa5af8639...
2018-11-29 22:11:02.615593 I | rafthttp: started HTTP pipelining with peer a00c92baa5af8639
2018-11-29 22:11:02.618986 I | rafthttp: started peer a00c92baa5af8639
2018-11-29 22:11:02.619013 I | rafthttp: added peer a00c92baa5af8639
2018-11-29 22:11:02.619031 I | rafthttp: starting peer b230326f6c733c35...
2018-11-29 22:11:02.619057 I | rafthttp: started HTTP pipelining with peer b230326f6c733c35
2018-11-29 22:11:02.619997 I | rafthttp: started streaming with peer a00c92baa5af8639 (stream MsgApp v2 reader)
2018-11-29 22:11:02.620027 I | rafthttp: started streaming with peer a00c92baa5af8639 (writer)
2018-11-29 22:11:02.620098 I | rafthttp: started streaming with peer b230326f6c733c35 (writer)
2018-11-29 22:11:02.620110 I | rafthttp: started streaming with peer a00c92baa5af8639 (writer)
2018-11-29 22:11:02.620992 I | rafthttp: started peer b230326f6c733c35
2018-11-29 22:11:02.621014 I | rafthttp: added peer b230326f6c733c35
2018-11-29 22:11:02.621031 I | rafthttp: starting peer cecac79a73f45067...
2018-11-29 22:11:02.621073 I | rafthttp: started HTTP pipelining with peer cecac79a73f45067
2018-11-29 22:11:02.623217 I | rafthttp: started peer cecac79a73f45067
2018-11-29 22:11:02.623241 I | rafthttp: added peer cecac79a73f45067
2018-11-29 22:11:02.623257 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2018-11-29 22:11:02.623564 I | rafthttp: started streaming with peer b230326f6c733c35 (stream MsgApp v2 reader)
2018-11-29 22:11:02.623778 I | rafthttp: started streaming with peer b230326f6c733c35 (stream Message reader)
2018-11-29 22:11:02.623936 I | rafthttp: started streaming with peer cecac79a73f45067 (writer)
2018-11-29 22:11:02.623975 I | rafthttp: started streaming with peer cecac79a73f45067 (writer)
2018-11-29 22:11:02.624001 I | rafthttp: started streaming with peer cecac79a73f45067 (stream MsgApp v2 reader)
2018-11-29 22:11:02.624193 I | rafthttp: started streaming with peer cecac79a73f45067 (stream Message reader)
2018-11-29 22:11:02.625242 I | rafthttp: started streaming with peer a00c92baa5af8639 (stream Message reader)
2018-11-29 22:11:02.625391 I | rafthttp: started streaming with peer b230326f6c733c35 (writer)
2018-11-29 22:11:02.625504 I | etcdserver/membership: added member 2d508dd0aa9ee691 [http://ec2-107-23-238-236.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 22:11:02.625739 I | etcdserver/membership: added member 3474e3739df12d31 [http://ec2-35-174-16-155.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 22:11:02.625987 I | etcdserver/membership: added member a00c92baa5af8639 [http://ec2-18-212-141-207.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 22:11:02.626228 I | etcdserver/membership: added member b230326f6c733c35 [http://ec2-18-234-71-213.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 22:11:02.626516 I | etcdserver/membership: added member cecac79a73f45067 [http://ec2-18-232-141-137.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 22:11:02.627102 I | rafthttp: peer b230326f6c733c35 became active
2018-11-29 22:11:02.627118 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream MsgApp v2 writer)
2018-11-29 22:11:02.627540 I | rafthttp: peer 2d508dd0aa9ee691 became active
2018-11-29 22:11:02.627564 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream Message writer)
2018-11-29 22:11:02.627704 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream Message reader)
2018-11-29 22:11:02.627771 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream MsgApp v2 writer)
2018-11-29 22:11:02.627829 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream MsgApp v2 reader)
2018-11-29 22:11:02.627971 I | rafthttp: peer cecac79a73f45067 became active
2018-11-29 22:11:02.627990 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream Message writer)
2018-11-29 22:11:02.628219 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream MsgApp v2 writer)
2018-11-29 22:11:02.628364 I | rafthttp: peer a00c92baa5af8639 became active
2018-11-29 22:11:02.628388 I | rafthttp: established a TCP streaming connection with peer a00c92baa5af8639 (stream Message writer)
2018-11-29 22:11:02.628595 I | rafthttp: established a TCP streaming connection with peer a00c92baa5af8639 (stream MsgApp v2 writer)
