2018-11-29 23:16:49 Jepsen starting etcd :--log-output :stderr :--name ec2-18-234-71-213.compute-1.amazonaws.com :--listen-peer-urls http://ec2-18-234-71-213.compute-1.amazonaws.com:2380 :--listen-client-urls http://ec2-18-234-71-213.compute-1.amazonaws.com:2379 :--advertise-client-urls http://ec2-18-234-71-213.compute-1.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-18-234-71-213.compute-1.amazonaws.com:2380 :--initial-cluster ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380
2018-11-29 23:16:49.403998 I | etcdmain: etcd Version: 3.1.5
2018-11-29 23:16:49.404031 I | etcdmain: Git SHA: 20490ca
2018-11-29 23:16:49.404037 I | etcdmain: Go Version: go1.7.5
2018-11-29 23:16:49.404042 I | etcdmain: Go OS/Arch: linux/amd64
2018-11-29 23:16:49.404047 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2018-11-29 23:16:49.404055 W | etcdmain: no data-dir provided, using default data-dir ./ec2-18-234-71-213.compute-1.amazonaws.com.etcd
2018-11-29 23:16:49.404068 W | embed: expected IP in URL for binding (http://ec2-18-234-71-213.compute-1.amazonaws.com:2380)
2018-11-29 23:16:49.404075 W | embed: expected IP in URL for binding (http://ec2-18-234-71-213.compute-1.amazonaws.com:2379)
2018-11-29 23:16:49.406356 I | embed: listening for peers on http://ec2-18-234-71-213.compute-1.amazonaws.com:2380
2018-11-29 23:16:49.406844 I | embed: listening for client requests on ec2-18-234-71-213.compute-1.amazonaws.com:2379
2018-11-29 23:16:49.411196 I | pkg/netutil: resolving ec2-18-234-71-213.compute-1.amazonaws.com:2380 to 172.31.20.192:2380
2018-11-29 23:16:49.411595 I | pkg/netutil: resolving ec2-18-234-71-213.compute-1.amazonaws.com:2380 to 172.31.20.192:2380
2018-11-29 23:16:53.412685 I | etcdserver: name = ec2-18-234-71-213.compute-1.amazonaws.com
2018-11-29 23:16:53.412714 I | etcdserver: data dir = ec2-18-234-71-213.compute-1.amazonaws.com.etcd
2018-11-29 23:16:53.412722 I | etcdserver: member dir = ec2-18-234-71-213.compute-1.amazonaws.com.etcd/member
2018-11-29 23:16:53.412728 I | etcdserver: heartbeat = 100ms
2018-11-29 23:16:53.412733 I | etcdserver: election = 1000ms
2018-11-29 23:16:53.412739 I | etcdserver: snapshot count = 10000
2018-11-29 23:16:53.412752 I | etcdserver: advertise client URLs = http://ec2-18-234-71-213.compute-1.amazonaws.com:2379
2018-11-29 23:16:53.412773 I | etcdserver: initial advertise peer URLs = http://ec2-18-234-71-213.compute-1.amazonaws.com:2380
2018-11-29 23:16:53.412794 I | etcdserver: initial cluster = ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380,ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380
2018-11-29 23:16:53.417738 I | etcdserver: starting member b230326f6c733c35 in cluster d4e906640f16da25
2018-11-29 23:16:53.417765 I | raft: b230326f6c733c35 became follower at term 0
2018-11-29 23:16:53.417777 I | raft: newRaft b230326f6c733c35 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2018-11-29 23:16:53.417783 I | raft: b230326f6c733c35 became follower at term 1
2018-11-29 23:16:53.429128 I | rafthttp: starting peer 2d508dd0aa9ee691...
2018-11-29 23:16:53.429197 I | rafthttp: started HTTP pipelining with peer 2d508dd0aa9ee691
2018-11-29 23:16:53.430594 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 23:16:53.433789 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream Message reader)
2018-11-29 23:16:53.433832 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream MsgApp v2 reader)
2018-11-29 23:16:53.433948 I | rafthttp: started peer 2d508dd0aa9ee691
2018-11-29 23:16:53.433980 I | rafthttp: added peer 2d508dd0aa9ee691
2018-11-29 23:16:53.433997 I | rafthttp: starting peer 3474e3739df12d31...
2018-11-29 23:16:53.434015 I | rafthttp: started HTTP pipelining with peer 3474e3739df12d31
2018-11-29 23:16:53.434579 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 23:16:53.436726 I | rafthttp: started streaming with peer 3474e3739df12d31 (writer)
2018-11-29 23:16:53.436976 I | rafthttp: started streaming with peer 3474e3739df12d31 (writer)
2018-11-29 23:16:53.437547 I | rafthttp: started peer 3474e3739df12d31
2018-11-29 23:16:53.437570 I | rafthttp: added peer 3474e3739df12d31
2018-11-29 23:16:53.437586 I | rafthttp: starting peer a00c92baa5af8639...
2018-11-29 23:16:53.437614 I | rafthttp: started HTTP pipelining with peer a00c92baa5af8639
2018-11-29 23:16:53.437925 I | rafthttp: started streaming with peer 3474e3739df12d31 (stream MsgApp v2 reader)
2018-11-29 23:16:53.438134 I | rafthttp: started streaming with peer 3474e3739df12d31 (stream Message reader)
2018-11-29 23:16:53.439044 I | rafthttp: started streaming with peer a00c92baa5af8639 (writer)
2018-11-29 23:16:53.439220 I | rafthttp: started streaming with peer a00c92baa5af8639 (writer)
2018-11-29 23:16:53.440201 I | rafthttp: started peer a00c92baa5af8639
2018-11-29 23:16:53.440223 I | rafthttp: added peer a00c92baa5af8639
2018-11-29 23:16:53.440239 I | rafthttp: starting peer cecac79a73f45067...
2018-11-29 23:16:53.440261 I | rafthttp: started HTTP pipelining with peer cecac79a73f45067
2018-11-29 23:16:53.443067 I | rafthttp: started peer cecac79a73f45067
2018-11-29 23:16:53.443123 I | rafthttp: added peer cecac79a73f45067
2018-11-29 23:16:53.443141 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2018-11-29 23:16:53.443414 I | rafthttp: started streaming with peer a00c92baa5af8639 (stream MsgApp v2 reader)
2018-11-29 23:16:53.443534 I | rafthttp: started streaming with peer a00c92baa5af8639 (stream Message reader)
2018-11-29 23:16:53.443765 I | rafthttp: started streaming with peer cecac79a73f45067 (stream Message reader)
2018-11-29 23:16:53.443994 I | rafthttp: started streaming with peer cecac79a73f45067 (writer)
2018-11-29 23:16:53.444021 I | rafthttp: started streaming with peer cecac79a73f45067 (writer)
2018-11-29 23:16:53.444049 I | rafthttp: started streaming with peer cecac79a73f45067 (stream MsgApp v2 reader)
2018-11-29 23:16:53.444672 I | rafthttp: peer cecac79a73f45067 became active
2018-11-29 23:16:53.444723 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream MsgApp v2 writer)
2018-11-29 23:16:53.444991 I | etcdserver/membership: added member 2d508dd0aa9ee691 [http://ec2-107-23-238-236.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 23:16:53.445126 I | etcdserver/membership: added member 3474e3739df12d31 [http://ec2-35-174-16-155.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 23:16:53.445270 I | etcdserver/membership: added member a00c92baa5af8639 [http://ec2-18-212-141-207.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 23:16:53.445421 I | etcdserver/membership: added member b230326f6c733c35 [http://ec2-18-234-71-213.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 23:16:53.445532 I | etcdserver/membership: added member cecac79a73f45067 [http://ec2-18-232-141-137.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 23:16:53.445630 I | rafthttp: peer 2d508dd0aa9ee691 became active
2018-11-29 23:16:53.445664 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream MsgApp v2 reader)
2018-11-29 23:16:53.445940 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream MsgApp v2 writer)
2018-11-29 23:16:53.446154 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream Message writer)
2018-11-29 23:16:53.446363 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream Message reader)
2018-11-29 23:16:53.446638 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream Message writer)
2018-11-29 23:16:53.447283 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream Message reader)
2018-11-29 23:16:53.447297 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream MsgApp v2 reader)
