2018-11-29 01:04:25 Jepsen starting etcd :--log-output :stderr :--name ec2-35-174-16-155.compute-1.amazonaws.com :--listen-peer-urls http://ec2-35-174-16-155.compute-1.amazonaws.com:2380 :--listen-client-urls http://ec2-35-174-16-155.compute-1.amazonaws.com:2379 :--advertise-client-urls http://ec2-35-174-16-155.compute-1.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-35-174-16-155.compute-1.amazonaws.com:2380 :--initial-cluster ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380
2018-11-29 01:04:25.982546 I | etcdmain: etcd Version: 3.1.5
2018-11-29 01:04:25.982582 I | etcdmain: Git SHA: 20490ca
2018-11-29 01:04:25.982591 I | etcdmain: Go Version: go1.7.5
2018-11-29 01:04:25.982596 I | etcdmain: Go OS/Arch: linux/amd64
2018-11-29 01:04:25.982601 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2018-11-29 01:04:25.982609 W | etcdmain: no data-dir provided, using default data-dir ./ec2-35-174-16-155.compute-1.amazonaws.com.etcd
2018-11-29 01:04:25.982623 W | embed: expected IP in URL for binding (http://ec2-35-174-16-155.compute-1.amazonaws.com:2380)
2018-11-29 01:04:25.982629 W | embed: expected IP in URL for binding (http://ec2-35-174-16-155.compute-1.amazonaws.com:2379)
2018-11-29 01:04:25.984985 I | embed: listening for peers on http://ec2-35-174-16-155.compute-1.amazonaws.com:2380
2018-11-29 01:04:25.985434 I | embed: listening for client requests on ec2-35-174-16-155.compute-1.amazonaws.com:2379
2018-11-29 01:04:25.990143 I | pkg/netutil: resolving ec2-35-174-16-155.compute-1.amazonaws.com:2380 to 172.31.21.73:2380
2018-11-29 01:04:25.990594 I | pkg/netutil: resolving ec2-35-174-16-155.compute-1.amazonaws.com:2380 to 172.31.21.73:2380
2018-11-29 01:04:29.991659 I | etcdserver: name = ec2-35-174-16-155.compute-1.amazonaws.com
2018-11-29 01:04:29.991689 I | etcdserver: data dir = ec2-35-174-16-155.compute-1.amazonaws.com.etcd
2018-11-29 01:04:29.991698 I | etcdserver: member dir = ec2-35-174-16-155.compute-1.amazonaws.com.etcd/member
2018-11-29 01:04:29.991703 I | etcdserver: heartbeat = 100ms
2018-11-29 01:04:29.991708 I | etcdserver: election = 1000ms
2018-11-29 01:04:29.991714 I | etcdserver: snapshot count = 10000
2018-11-29 01:04:29.991730 I | etcdserver: advertise client URLs = http://ec2-35-174-16-155.compute-1.amazonaws.com:2379
2018-11-29 01:04:29.991737 I | etcdserver: initial advertise peer URLs = http://ec2-35-174-16-155.compute-1.amazonaws.com:2380
2018-11-29 01:04:29.991760 I | etcdserver: initial cluster = ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380,ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380
2018-11-29 01:04:29.997115 I | etcdserver: starting member 3474e3739df12d31 in cluster d4e906640f16da25
2018-11-29 01:04:29.997142 I | raft: 3474e3739df12d31 became follower at term 0
2018-11-29 01:04:29.997153 I | raft: newRaft 3474e3739df12d31 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2018-11-29 01:04:29.997159 I | raft: 3474e3739df12d31 became follower at term 1
2018-11-29 01:04:30.011228 I | rafthttp: starting peer 2d508dd0aa9ee691...
2018-11-29 01:04:30.011270 I | rafthttp: started HTTP pipelining with peer 2d508dd0aa9ee691
2018-11-29 01:04:30.012616 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 01:04:30.015723 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 01:04:30.015743 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream Message reader)
2018-11-29 01:04:30.015764 I | rafthttp: started peer 2d508dd0aa9ee691
2018-11-29 01:04:30.015788 I | rafthttp: added peer 2d508dd0aa9ee691
2018-11-29 01:04:30.015807 I | rafthttp: starting peer a00c92baa5af8639...
2018-11-29 01:04:30.015829 I | rafthttp: started HTTP pipelining with peer a00c92baa5af8639
2018-11-29 01:04:30.017567 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream MsgApp v2 reader)
2018-11-29 01:04:30.018089 I | rafthttp: started streaming with peer a00c92baa5af8639 (writer)
2018-11-29 01:04:30.018253 I | rafthttp: started streaming with peer a00c92baa5af8639 (writer)
2018-11-29 01:04:30.018546 I | rafthttp: started peer a00c92baa5af8639
2018-11-29 01:04:30.018586 I | rafthttp: added peer a00c92baa5af8639
2018-11-29 01:04:30.018606 I | rafthttp: starting peer b230326f6c733c35...
2018-11-29 01:04:30.018637 I | rafthttp: started HTTP pipelining with peer b230326f6c733c35
2018-11-29 01:04:30.019274 I | rafthttp: started streaming with peer a00c92baa5af8639 (stream MsgApp v2 reader)
2018-11-29 01:04:30.020348 I | rafthttp: started streaming with peer a00c92baa5af8639 (stream Message reader)
2018-11-29 01:04:30.020594 I | rafthttp: started streaming with peer b230326f6c733c35 (writer)
2018-11-29 01:04:30.020748 I | rafthttp: started peer b230326f6c733c35
2018-11-29 01:04:30.020775 I | rafthttp: started streaming with peer b230326f6c733c35 (writer)
2018-11-29 01:04:30.020792 I | rafthttp: added peer b230326f6c733c35
2018-11-29 01:04:30.020810 I | rafthttp: starting peer cecac79a73f45067...
2018-11-29 01:04:30.020824 I | rafthttp: started streaming with peer b230326f6c733c35 (stream MsgApp v2 reader)
2018-11-29 01:04:30.020855 I | rafthttp: started HTTP pipelining with peer cecac79a73f45067
2018-11-29 01:04:30.022085 I | rafthttp: started streaming with peer b230326f6c733c35 (stream Message reader)
2018-11-29 01:04:30.023794 I | rafthttp: started streaming with peer cecac79a73f45067 (writer)
2018-11-29 01:04:30.023811 I | rafthttp: started streaming with peer cecac79a73f45067 (writer)
2018-11-29 01:04:30.023820 I | rafthttp: started peer cecac79a73f45067
2018-11-29 01:04:30.023838 I | rafthttp: added peer cecac79a73f45067
2018-11-29 01:04:30.023853 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2018-11-29 01:04:30.024145 I | rafthttp: started streaming with peer cecac79a73f45067 (stream Message reader)
