2018-11-29 23:11:52 Jepsen starting etcd :--log-output :stderr :--name ec2-107-23-238-236.compute-1.amazonaws.com :--listen-peer-urls http://ec2-107-23-238-236.compute-1.amazonaws.com:2380 :--listen-client-urls http://ec2-107-23-238-236.compute-1.amazonaws.com:2379 :--advertise-client-urls http://ec2-107-23-238-236.compute-1.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-107-23-238-236.compute-1.amazonaws.com:2380 :--initial-cluster ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380
2018-11-29 23:11:52.394402 I | etcdmain: etcd Version: 3.1.5
2018-11-29 23:11:52.394435 I | etcdmain: Git SHA: 20490ca
2018-11-29 23:11:52.394441 I | etcdmain: Go Version: go1.7.5
2018-11-29 23:11:52.394446 I | etcdmain: Go OS/Arch: linux/amd64
2018-11-29 23:11:52.394452 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2018-11-29 23:11:52.394460 W | etcdmain: no data-dir provided, using default data-dir ./ec2-107-23-238-236.compute-1.amazonaws.com.etcd
2018-11-29 23:11:52.394474 W | embed: expected IP in URL for binding (http://ec2-107-23-238-236.compute-1.amazonaws.com:2380)
2018-11-29 23:11:52.394481 W | embed: expected IP in URL for binding (http://ec2-107-23-238-236.compute-1.amazonaws.com:2379)
2018-11-29 23:11:52.396479 I | embed: listening for peers on http://ec2-107-23-238-236.compute-1.amazonaws.com:2380
2018-11-29 23:11:52.396987 I | embed: listening for client requests on ec2-107-23-238-236.compute-1.amazonaws.com:2379
2018-11-29 23:11:52.400731 I | pkg/netutil: resolving ec2-107-23-238-236.compute-1.amazonaws.com:2380 to 172.31.24.89:2380
2018-11-29 23:11:52.401160 I | pkg/netutil: resolving ec2-107-23-238-236.compute-1.amazonaws.com:2380 to 172.31.24.89:2380
2018-11-29 23:11:56.402239 I | etcdserver: name = ec2-107-23-238-236.compute-1.amazonaws.com
2018-11-29 23:11:56.402276 I | etcdserver: data dir = ec2-107-23-238-236.compute-1.amazonaws.com.etcd
2018-11-29 23:11:56.402285 I | etcdserver: member dir = ec2-107-23-238-236.compute-1.amazonaws.com.etcd/member
2018-11-29 23:11:56.402291 I | etcdserver: heartbeat = 100ms
2018-11-29 23:11:56.402297 I | etcdserver: election = 1000ms
2018-11-29 23:11:56.402315 I | etcdserver: snapshot count = 10000
2018-11-29 23:11:56.402330 I | etcdserver: advertise client URLs = http://ec2-107-23-238-236.compute-1.amazonaws.com:2379
2018-11-29 23:11:56.402340 I | etcdserver: initial advertise peer URLs = http://ec2-107-23-238-236.compute-1.amazonaws.com:2380
2018-11-29 23:11:56.402362 I | etcdserver: initial cluster = ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380,ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380
2018-11-29 23:11:56.406112 I | etcdserver: starting member 2d508dd0aa9ee691 in cluster d4e906640f16da25
2018-11-29 23:11:56.406146 I | raft: 2d508dd0aa9ee691 became follower at term 0
2018-11-29 23:11:56.406159 I | raft: newRaft 2d508dd0aa9ee691 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2018-11-29 23:11:56.406166 I | raft: 2d508dd0aa9ee691 became follower at term 1
2018-11-29 23:11:56.416423 I | rafthttp: starting peer 3474e3739df12d31...
2018-11-29 23:11:56.416475 I | rafthttp: started HTTP pipelining with peer 3474e3739df12d31
2018-11-29 23:11:56.417813 I | rafthttp: started streaming with peer 3474e3739df12d31 (writer)
2018-11-29 23:11:56.418002 I | rafthttp: started streaming with peer 3474e3739df12d31 (writer)
2018-11-29 23:11:56.421337 I | rafthttp: started peer 3474e3739df12d31
2018-11-29 23:11:56.421371 I | rafthttp: added peer 3474e3739df12d31
2018-11-29 23:11:56.421394 I | rafthttp: starting peer a00c92baa5af8639...
2018-11-29 23:11:56.421414 I | rafthttp: started HTTP pipelining with peer a00c92baa5af8639
2018-11-29 23:11:56.421837 I | rafthttp: started streaming with peer 3474e3739df12d31 (stream MsgApp v2 reader)
2018-11-29 23:11:56.423504 I | rafthttp: started streaming with peer 3474e3739df12d31 (stream Message reader)
2018-11-29 23:11:56.423680 I | rafthttp: started streaming with peer a00c92baa5af8639 (writer)
2018-11-29 23:11:56.425426 I | rafthttp: started peer a00c92baa5af8639
2018-11-29 23:11:56.425454 I | rafthttp: added peer a00c92baa5af8639
2018-11-29 23:11:56.425472 I | rafthttp: starting peer b230326f6c733c35...
2018-11-29 23:11:56.425503 I | rafthttp: started HTTP pipelining with peer b230326f6c733c35
2018-11-29 23:11:56.426493 I | rafthttp: started streaming with peer b230326f6c733c35 (writer)
2018-11-29 23:11:56.426509 I | rafthttp: started streaming with peer a00c92baa5af8639 (stream Message reader)
2018-11-29 23:11:56.426541 I | rafthttp: started streaming with peer b230326f6c733c35 (writer)
2018-11-29 23:11:56.426580 I | rafthttp: started streaming with peer a00c92baa5af8639 (stream MsgApp v2 reader)
2018-11-29 23:11:56.427571 I | rafthttp: started peer b230326f6c733c35
2018-11-29 23:11:56.427595 I | rafthttp: added peer b230326f6c733c35
2018-11-29 23:11:56.427630 I | rafthttp: starting peer cecac79a73f45067...
2018-11-29 23:11:56.427678 I | rafthttp: started HTTP pipelining with peer cecac79a73f45067
2018-11-29 23:11:56.429712 I | rafthttp: started peer cecac79a73f45067
2018-11-29 23:11:56.429736 I | rafthttp: added peer cecac79a73f45067
2018-11-29 23:11:56.429753 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2018-11-29 23:11:56.430066 I | rafthttp: started streaming with peer b230326f6c733c35 (stream MsgApp v2 reader)
2018-11-29 23:11:56.430314 I | rafthttp: started streaming with peer b230326f6c733c35 (stream Message reader)
2018-11-29 23:11:56.430442 I | rafthttp: started streaming with peer cecac79a73f45067 (writer)
2018-11-29 23:11:56.430504 I | rafthttp: started streaming with peer cecac79a73f45067 (writer)
2018-11-29 23:11:56.430532 I | rafthttp: started streaming with peer cecac79a73f45067 (stream MsgApp v2 reader)
2018-11-29 23:11:56.430718 I | rafthttp: started streaming with peer cecac79a73f45067 (stream Message reader)
2018-11-29 23:11:56.431615 I | rafthttp: peer cecac79a73f45067 became active
2018-11-29 23:11:56.431634 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream MsgApp v2 writer)
2018-11-29 23:11:56.432946 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream Message writer)
2018-11-29 23:11:56.433133 I | etcdserver/membership: added member 2d508dd0aa9ee691 [http://ec2-107-23-238-236.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 23:11:56.433251 I | etcdserver/membership: added member 3474e3739df12d31 [http://ec2-35-174-16-155.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 23:11:56.433346 I | etcdserver/membership: added member a00c92baa5af8639 [http://ec2-18-212-141-207.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 23:11:56.433450 I | etcdserver/membership: added member b230326f6c733c35 [http://ec2-18-234-71-213.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 23:11:56.433561 I | etcdserver/membership: added member cecac79a73f45067 [http://ec2-18-232-141-137.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 23:11:56.433787 I | rafthttp: started streaming with peer a00c92baa5af8639 (writer)
2018-11-29 23:11:56.433907 I | rafthttp: peer b230326f6c733c35 became active
2018-11-29 23:11:56.433926 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream MsgApp v2 writer)
2018-11-29 23:11:56.434048 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream Message writer)
2018-11-29 23:11:56.435316 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream Message reader)
2018-11-29 23:11:56.435351 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream MsgApp v2 reader)
2018-11-29 23:11:56.435483 I | rafthttp: peer a00c92baa5af8639 became active
2018-11-29 23:11:56.435496 I | rafthttp: established a TCP streaming connection with peer a00c92baa5af8639 (stream Message reader)
2018-11-29 23:11:56.441748 I | rafthttp: established a TCP streaming connection with peer a00c92baa5af8639 (stream MsgApp v2 writer)
2018-11-29 23:11:56.441876 I | rafthttp: established a TCP streaming connection with peer a00c92baa5af8639 (stream Message writer)
2018-11-29 23:11:56.441950 I | rafthttp: established a TCP streaming connection with peer a00c92baa5af8639 (stream MsgApp v2 reader)
2018-11-29 23:11:56.442112 I | rafthttp: peer 3474e3739df12d31 became active
2018-11-29 23:11:56.442128 I | rafthttp: established a TCP streaming connection with peer 3474e3739df12d31 (stream Message writer)
2018-11-29 23:11:56.442200 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream Message reader)
2018-11-29 23:11:56.442261 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream MsgApp v2 reader)
2018-11-29 23:11:56.442336 I | rafthttp: established a TCP streaming connection with peer 3474e3739df12d31 (stream MsgApp v2 writer)
2018-11-29 23:11:56.445849 I | rafthttp: established a TCP streaming connection with peer 3474e3739df12d31 (stream Message reader)
2018-11-29 23:11:56.445968 I | rafthttp: established a TCP streaming connection with peer 3474e3739df12d31 (stream MsgApp v2 reader)
2018-11-29 23:11:56.807738 I | raft: 2d508dd0aa9ee691 [term: 1] received a MsgVote message with higher term from cecac79a73f45067 [term: 2]
2018-11-29 23:11:56.807785 I | raft: 2d508dd0aa9ee691 became follower at term 2
2018-11-29 23:11:56.807798 I | raft: 2d508dd0aa9ee691 [logterm: 1, index: 5, vote: 0] cast MsgVote for cecac79a73f45067 [logterm: 1, index: 5] at term 2
2018-11-29 23:11:56.809214 I | raft: raft.node: 2d508dd0aa9ee691 elected leader cecac79a73f45067 at term 2
2018-11-29 23:11:56.813587 I | etcdserver: published {Name:ec2-107-23-238-236.compute-1.amazonaws.com ClientURLs:[http://ec2-107-23-238-236.compute-1.amazonaws.com:2379]} to cluster d4e906640f16da25
2018-11-29 23:11:56.813608 I | embed: ready to serve client requests
2018-11-29 23:11:56.813851 E | etcdmain: forgot to set Type=notify in systemd service file?
2018-11-29 23:11:56.814527 N | embed: serving insecure client requests on 172.31.24.89:2379, this is strongly discouraged!
2018-11-29 23:11:56.824158 N | etcdserver/membership: set the initial cluster version to 3.1
2018-11-29 23:11:56.824206 I | etcdserver/api: enabled capabilities for version 3.1
2018-11-29 23:12:01.430626 W | rafthttp: the clock difference against peer b230326f6c733c35 is too high [1.391656883s > 1s]
2018-11-29 23:12:01.431013 W | rafthttp: the clock difference against peer cecac79a73f45067 is too high [1.942837102s > 1s]
