2018-11-29 21:49:07 Jepsen starting etcd :--log-output :stderr :--name ec2-35-174-16-155.compute-1.amazonaws.com :--listen-peer-urls http://ec2-35-174-16-155.compute-1.amazonaws.com:2380 :--listen-client-urls http://ec2-35-174-16-155.compute-1.amazonaws.com:2379 :--advertise-client-urls http://ec2-35-174-16-155.compute-1.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-35-174-16-155.compute-1.amazonaws.com:2380 :--initial-cluster ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380
2018-11-29 21:49:07.728569 I | etcdmain: etcd Version: 3.1.5
2018-11-29 21:49:07.728660 I | etcdmain: Git SHA: 20490ca
2018-11-29 21:49:07.728669 I | etcdmain: Go Version: go1.7.5
2018-11-29 21:49:07.728686 I | etcdmain: Go OS/Arch: linux/amd64
2018-11-29 21:49:07.728692 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2018-11-29 21:49:07.728700 W | etcdmain: no data-dir provided, using default data-dir ./ec2-35-174-16-155.compute-1.amazonaws.com.etcd
2018-11-29 21:49:07.728715 W | embed: expected IP in URL for binding (http://ec2-35-174-16-155.compute-1.amazonaws.com:2380)
2018-11-29 21:49:07.728722 W | embed: expected IP in URL for binding (http://ec2-35-174-16-155.compute-1.amazonaws.com:2379)
2018-11-29 21:49:07.731160 I | embed: listening for peers on http://ec2-35-174-16-155.compute-1.amazonaws.com:2380
2018-11-29 21:49:07.731623 I | embed: listening for client requests on ec2-35-174-16-155.compute-1.amazonaws.com:2379
2018-11-29 21:49:07.735873 I | pkg/netutil: resolving ec2-35-174-16-155.compute-1.amazonaws.com:2380 to 172.31.21.73:2380
2018-11-29 21:49:07.736308 I | pkg/netutil: resolving ec2-35-174-16-155.compute-1.amazonaws.com:2380 to 172.31.21.73:2380
2018-11-29 21:49:11.737315 I | etcdserver: name = ec2-35-174-16-155.compute-1.amazonaws.com
2018-11-29 21:49:11.737352 I | etcdserver: data dir = ec2-35-174-16-155.compute-1.amazonaws.com.etcd
2018-11-29 21:49:11.737363 I | etcdserver: member dir = ec2-35-174-16-155.compute-1.amazonaws.com.etcd/member
2018-11-29 21:49:11.737369 I | etcdserver: heartbeat = 100ms
2018-11-29 21:49:11.737374 I | etcdserver: election = 1000ms
2018-11-29 21:49:11.737380 I | etcdserver: snapshot count = 10000
2018-11-29 21:49:11.737394 I | etcdserver: advertise client URLs = http://ec2-35-174-16-155.compute-1.amazonaws.com:2379
2018-11-29 21:49:11.737403 I | etcdserver: initial advertise peer URLs = http://ec2-35-174-16-155.compute-1.amazonaws.com:2380
2018-11-29 21:49:11.737423 I | etcdserver: initial cluster = ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380,ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380
2018-11-29 21:49:11.742140 I | etcdserver: starting member 3474e3739df12d31 in cluster d4e906640f16da25
2018-11-29 21:49:11.742166 I | raft: 3474e3739df12d31 became follower at term 0
2018-11-29 21:49:11.742176 I | raft: newRaft 3474e3739df12d31 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2018-11-29 21:49:11.742186 I | raft: 3474e3739df12d31 became follower at term 1
2018-11-29 21:49:11.755196 I | rafthttp: starting peer 2d508dd0aa9ee691...
2018-11-29 21:49:11.755239 I | rafthttp: started HTTP pipelining with peer 2d508dd0aa9ee691
2018-11-29 21:49:11.759728 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 21:49:11.759765 I | rafthttp: started peer 2d508dd0aa9ee691
2018-11-29 21:49:11.759794 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream MsgApp v2 reader)
2018-11-29 21:49:11.759809 I | rafthttp: added peer 2d508dd0aa9ee691
2018-11-29 21:49:11.759833 I | rafthttp: starting peer a00c92baa5af8639...
2018-11-29 21:49:11.759855 I | rafthttp: started HTTP pipelining with peer a00c92baa5af8639
2018-11-29 21:49:11.759954 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream Message reader)
2018-11-29 21:49:11.761542 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 21:49:11.763871 I | rafthttp: started streaming with peer a00c92baa5af8639 (writer)
2018-11-29 21:49:11.763890 I | rafthttp: started peer a00c92baa5af8639
2018-11-29 21:49:11.763910 I | rafthttp: added peer a00c92baa5af8639
2018-11-29 21:49:11.763926 I | rafthttp: starting peer b230326f6c733c35...
2018-11-29 21:49:11.763971 I | rafthttp: started HTTP pipelining with peer b230326f6c733c35
2018-11-29 21:49:11.764173 I | rafthttp: started streaming with peer a00c92baa5af8639 (stream Message reader)
2018-11-29 21:49:11.764286 I | rafthttp: started streaming with peer a00c92baa5af8639 (writer)
2018-11-29 21:49:11.764301 I | rafthttp: started streaming with peer a00c92baa5af8639 (stream MsgApp v2 reader)
2018-11-29 21:49:11.765064 I | rafthttp: started streaming with peer b230326f6c733c35 (writer)
2018-11-29 21:49:11.765898 I | rafthttp: started streaming with peer b230326f6c733c35 (writer)
2018-11-29 21:49:11.767483 I | rafthttp: started peer b230326f6c733c35
2018-11-29 21:49:11.767509 I | rafthttp: added peer b230326f6c733c35
2018-11-29 21:49:11.767525 I | rafthttp: starting peer cecac79a73f45067...
2018-11-29 21:49:11.767581 I | rafthttp: started HTTP pipelining with peer cecac79a73f45067
2018-11-29 21:49:11.768933 I | rafthttp: started peer cecac79a73f45067
2018-11-29 21:49:11.768954 I | rafthttp: added peer cecac79a73f45067
2018-11-29 21:49:11.769024 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2018-11-29 21:49:11.769310 I | rafthttp: started streaming with peer b230326f6c733c35 (stream MsgApp v2 reader)
2018-11-29 21:49:11.769665 I | rafthttp: started streaming with peer b230326f6c733c35 (stream Message reader)
2018-11-29 21:49:11.769694 I | rafthttp: started streaming with peer cecac79a73f45067 (writer)
2018-11-29 21:49:11.769731 I | rafthttp: started streaming with peer cecac79a73f45067 (stream MsgApp v2 reader)
2018-11-29 21:49:11.769766 I | rafthttp: started streaming with peer cecac79a73f45067 (writer)
2018-11-29 21:49:11.770002 I | rafthttp: started streaming with peer cecac79a73f45067 (stream Message reader)
2018-11-29 21:49:11.772222 I | rafthttp: peer b230326f6c733c35 became active
2018-11-29 21:49:11.772249 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream MsgApp v2 writer)
2018-11-29 21:49:11.772468 I | etcdserver/membership: added member 2d508dd0aa9ee691 [http://ec2-107-23-238-236.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 21:49:11.772531 I | rafthttp: peer cecac79a73f45067 became active
2018-11-29 21:49:11.772553 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream Message writer)
2018-11-29 21:49:11.772610 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream MsgApp v2 writer)
2018-11-29 21:49:11.772681 I | etcdserver/membership: added member 3474e3739df12d31 [http://ec2-35-174-16-155.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 21:49:11.772817 I | rafthttp: peer a00c92baa5af8639 became active
2018-11-29 21:49:11.772838 I | rafthttp: established a TCP streaming connection with peer a00c92baa5af8639 (stream Message writer)
2018-11-29 21:49:11.772854 I | rafthttp: established a TCP streaming connection with peer a00c92baa5af8639 (stream MsgApp v2 writer)
2018-11-29 21:49:11.772876 I | etcdserver/membership: added member a00c92baa5af8639 [http://ec2-18-212-141-207.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 21:49:11.772990 I | rafthttp: peer 2d508dd0aa9ee691 became active
2018-11-29 21:49:11.773011 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream Message writer)
2018-11-29 21:49:11.773023 I | etcdserver/membership: added member b230326f6c733c35 [http://ec2-18-234-71-213.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 21:49:11.773076 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream Message reader)
2018-11-29 21:49:11.773124 I | rafthttp: established a TCP streaming connection with peer a00c92baa5af8639 (stream Message reader)
2018-11-29 21:49:11.773208 I | etcdserver/membership: added member cecac79a73f45067 [http://ec2-18-232-141-137.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 21:49:11.773360 I | rafthttp: established a TCP streaming connection with peer a00c92baa5af8639 (stream MsgApp v2 reader)
2018-11-29 21:49:11.773449 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream MsgApp v2 writer)
2018-11-29 21:49:11.773915 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream Message writer)
2018-11-29 21:49:11.774021 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream MsgApp v2 reader)
2018-11-29 21:49:11.779357 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream MsgApp v2 reader)
2018-11-29 21:49:11.779381 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream MsgApp v2 reader)
2018-11-29 21:49:11.779523 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream Message reader)
2018-11-29 21:49:11.779561 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream Message reader)
2018-11-29 21:49:11.941939 I | raft: 3474e3739df12d31 [term: 1] received a MsgVote message with higher term from b230326f6c733c35 [term: 2]
2018-11-29 21:49:11.941992 I | raft: 3474e3739df12d31 became follower at term 2
2018-11-29 21:49:11.942006 I | raft: 3474e3739df12d31 [logterm: 1, index: 5, vote: 0] cast MsgVote for b230326f6c733c35 [logterm: 1, index: 5] at term 2
2018-11-29 21:49:11.943416 I | raft: raft.node: 3474e3739df12d31 elected leader b230326f6c733c35 at term 2
2018-11-29 21:49:11.947401 I | etcdserver: published {Name:ec2-35-174-16-155.compute-1.amazonaws.com ClientURLs:[http://ec2-35-174-16-155.compute-1.amazonaws.com:2379]} to cluster d4e906640f16da25
2018-11-29 21:49:11.947451 I | embed: ready to serve client requests
2018-11-29 21:49:11.947740 N | embed: serving insecure client requests on 172.31.21.73:2379, this is strongly discouraged!
2018-11-29 21:49:11.949367 E | etcdmain: forgot to set Type=notify in systemd service file?
2018-11-29 21:49:11.954924 N | etcdserver/membership: set the initial cluster version to 3.1
2018-11-29 21:49:11.954963 I | etcdserver/api: enabled capabilities for version 3.1
2018-11-29 21:49:16.770223 W | rafthttp: the clock difference against peer cecac79a73f45067 is too high [1.271261063s > 1s]
2018-11-29 21:49:24.642345 I | raft: 3474e3739df12d31 [term: 2] received a MsgVote message with higher term from cecac79a73f45067 [term: 3]
2018-11-29 21:49:24.642404 I | raft: 3474e3739df12d31 became follower at term 3
2018-11-29 21:49:24.642418 I | raft: 3474e3739df12d31 [logterm: 2, index: 47, vote: 0] cast MsgVote for cecac79a73f45067 [logterm: 2, index: 47] at term 3
2018-11-29 21:49:24.642427 I | raft: raft.node: 3474e3739df12d31 lost leader b230326f6c733c35 at term 3
2018-11-29 21:49:24.644182 I | raft: raft.node: 3474e3739df12d31 elected leader cecac79a73f45067 at term 3
2018-11-29 21:49:26.756367 W | rafthttp: lost the TCP streaming connection with peer 2d508dd0aa9ee691 (stream Message reader)
2018-11-29 21:49:26.756447 E | rafthttp: failed to read 2d508dd0aa9ee691 on stream Message (read tcp 172.31.21.73:13860->172.31.24.89:2380: i/o timeout)
2018-11-29 21:49:26.756458 I | rafthttp: peer 2d508dd0aa9ee691 became inactive
2018-11-29 21:49:26.759869 W | rafthttp: lost the TCP streaming connection with peer 2d508dd0aa9ee691 (stream MsgApp v2 reader)
2018-11-29 21:49:28.214316 W | rafthttp: lost the TCP streaming connection with peer b230326f6c733c35 (stream MsgApp v2 reader)
2018-11-29 21:49:28.214356 E | rafthttp: failed to read b230326f6c733c35 on stream MsgApp v2 (read tcp 172.31.21.73:24709->172.31.20.192:2380: i/o timeout)
2018-11-29 21:49:28.214363 I | rafthttp: peer b230326f6c733c35 became inactive
2018-11-29 21:49:28.241172 W | rafthttp: lost the TCP streaming connection with peer b230326f6c733c35 (stream Message reader)
2018-11-29 21:49:29.159124 I | rafthttp: peer 2d508dd0aa9ee691 became active
2018-11-29 21:49:29.159154 W | rafthttp: closed an existing TCP streaming connection with peer 2d508dd0aa9ee691 (stream Message writer)
2018-11-29 21:49:29.159161 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream Message writer)
2018-11-29 21:49:29.159170 W | rafthttp: closed an existing TCP streaming connection with peer 2d508dd0aa9ee691 (stream MsgApp v2 writer)
2018-11-29 21:49:29.159176 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream MsgApp v2 writer)
2018-11-29 21:49:29.159440 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream MsgApp v2 reader)
2018-11-29 21:49:29.161512 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream Message reader)
2018-11-29 21:49:29.166231 I | rafthttp: peer b230326f6c733c35 became active
