2018-11-29 23:15:14 Jepsen starting etcd :--log-output :stderr :--name ec2-18-234-71-213.compute-1.amazonaws.com :--listen-peer-urls http://ec2-18-234-71-213.compute-1.amazonaws.com:2380 :--listen-client-urls http://ec2-18-234-71-213.compute-1.amazonaws.com:2379 :--advertise-client-urls http://ec2-18-234-71-213.compute-1.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-18-234-71-213.compute-1.amazonaws.com:2380 :--initial-cluster ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380
2018-11-29 23:15:14.489908 I | etcdmain: etcd Version: 3.1.5
2018-11-29 23:15:14.489938 I | etcdmain: Git SHA: 20490ca
2018-11-29 23:15:14.489943 I | etcdmain: Go Version: go1.7.5
2018-11-29 23:15:14.489948 I | etcdmain: Go OS/Arch: linux/amd64
2018-11-29 23:15:14.489954 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2018-11-29 23:15:14.489962 W | etcdmain: no data-dir provided, using default data-dir ./ec2-18-234-71-213.compute-1.amazonaws.com.etcd
2018-11-29 23:15:14.489973 W | embed: expected IP in URL for binding (http://ec2-18-234-71-213.compute-1.amazonaws.com:2380)
2018-11-29 23:15:14.489980 W | embed: expected IP in URL for binding (http://ec2-18-234-71-213.compute-1.amazonaws.com:2379)
2018-11-29 23:15:14.492062 I | embed: listening for peers on http://ec2-18-234-71-213.compute-1.amazonaws.com:2380
2018-11-29 23:15:14.492547 I | embed: listening for client requests on ec2-18-234-71-213.compute-1.amazonaws.com:2379
2018-11-29 23:15:14.496626 I | pkg/netutil: resolving ec2-18-234-71-213.compute-1.amazonaws.com:2380 to 172.31.20.192:2380
2018-11-29 23:15:14.497013 I | pkg/netutil: resolving ec2-18-234-71-213.compute-1.amazonaws.com:2380 to 172.31.20.192:2380
2018-11-29 23:15:18.498032 I | etcdserver: name = ec2-18-234-71-213.compute-1.amazonaws.com
2018-11-29 23:15:18.498075 I | etcdserver: data dir = ec2-18-234-71-213.compute-1.amazonaws.com.etcd
2018-11-29 23:15:18.498086 I | etcdserver: member dir = ec2-18-234-71-213.compute-1.amazonaws.com.etcd/member
2018-11-29 23:15:18.498091 I | etcdserver: heartbeat = 100ms
2018-11-29 23:15:18.498097 I | etcdserver: election = 1000ms
2018-11-29 23:15:18.498102 I | etcdserver: snapshot count = 10000
2018-11-29 23:15:18.498115 I | etcdserver: advertise client URLs = http://ec2-18-234-71-213.compute-1.amazonaws.com:2379
2018-11-29 23:15:18.498122 I | etcdserver: initial advertise peer URLs = http://ec2-18-234-71-213.compute-1.amazonaws.com:2380
2018-11-29 23:15:18.498145 I | etcdserver: initial cluster = ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380,ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380
2018-11-29 23:15:18.502460 I | etcdserver: starting member b230326f6c733c35 in cluster d4e906640f16da25
2018-11-29 23:15:18.502492 I | raft: b230326f6c733c35 became follower at term 0
2018-11-29 23:15:18.502503 I | raft: newRaft b230326f6c733c35 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2018-11-29 23:15:18.502509 I | raft: b230326f6c733c35 became follower at term 1
2018-11-29 23:15:18.513715 I | rafthttp: starting peer 2d508dd0aa9ee691...
2018-11-29 23:15:18.513755 I | rafthttp: started HTTP pipelining with peer 2d508dd0aa9ee691
2018-11-29 23:15:18.515103 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 23:15:18.518197 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 23:15:18.518221 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream Message reader)
2018-11-29 23:15:18.518261 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream MsgApp v2 reader)
2018-11-29 23:15:18.518378 I | rafthttp: started peer 2d508dd0aa9ee691
2018-11-29 23:15:18.518403 I | rafthttp: added peer 2d508dd0aa9ee691
2018-11-29 23:15:18.518420 I | rafthttp: starting peer 3474e3739df12d31...
2018-11-29 23:15:18.518473 I | rafthttp: started HTTP pipelining with peer 3474e3739df12d31
2018-11-29 23:15:18.519314 I | rafthttp: started streaming with peer 3474e3739df12d31 (writer)
2018-11-29 23:15:18.520384 I | rafthttp: started streaming with peer 3474e3739df12d31 (writer)
2018-11-29 23:15:18.520398 I | rafthttp: started streaming with peer 3474e3739df12d31 (stream Message reader)
