2018-11-29 01:04:26 Jepsen starting etcd :--log-output :stderr :--name ec2-107-23-238-236.compute-1.amazonaws.com :--listen-peer-urls http://ec2-107-23-238-236.compute-1.amazonaws.com:2380 :--listen-client-urls http://ec2-107-23-238-236.compute-1.amazonaws.com:2379 :--advertise-client-urls http://ec2-107-23-238-236.compute-1.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-107-23-238-236.compute-1.amazonaws.com:2380 :--initial-cluster ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380
2018-11-29 01:04:26.630026 I | etcdmain: etcd Version: 3.1.5
2018-11-29 01:04:26.630062 I | etcdmain: Git SHA: 20490ca
2018-11-29 01:04:26.630068 I | etcdmain: Go Version: go1.7.5
2018-11-29 01:04:26.630074 I | etcdmain: Go OS/Arch: linux/amd64
2018-11-29 01:04:26.630079 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2018-11-29 01:04:26.630092 W | etcdmain: no data-dir provided, using default data-dir ./ec2-107-23-238-236.compute-1.amazonaws.com.etcd
2018-11-29 01:04:26.630107 W | embed: expected IP in URL for binding (http://ec2-107-23-238-236.compute-1.amazonaws.com:2380)
2018-11-29 01:04:26.630114 W | embed: expected IP in URL for binding (http://ec2-107-23-238-236.compute-1.amazonaws.com:2379)
2018-11-29 01:04:26.632205 I | embed: listening for peers on http://ec2-107-23-238-236.compute-1.amazonaws.com:2380
2018-11-29 01:04:26.632681 I | embed: listening for client requests on ec2-107-23-238-236.compute-1.amazonaws.com:2379
2018-11-29 01:04:26.636892 I | pkg/netutil: resolving ec2-107-23-238-236.compute-1.amazonaws.com:2380 to 172.31.24.89:2380
2018-11-29 01:04:26.637281 I | pkg/netutil: resolving ec2-107-23-238-236.compute-1.amazonaws.com:2380 to 172.31.24.89:2380
2018-11-29 01:04:30.638351 I | etcdserver: name = ec2-107-23-238-236.compute-1.amazonaws.com
2018-11-29 01:04:30.638390 I | etcdserver: data dir = ec2-107-23-238-236.compute-1.amazonaws.com.etcd
2018-11-29 01:04:30.638399 I | etcdserver: member dir = ec2-107-23-238-236.compute-1.amazonaws.com.etcd/member
2018-11-29 01:04:30.638405 I | etcdserver: heartbeat = 100ms
2018-11-29 01:04:30.638410 I | etcdserver: election = 1000ms
2018-11-29 01:04:30.638416 I | etcdserver: snapshot count = 10000
2018-11-29 01:04:30.638456 I | etcdserver: advertise client URLs = http://ec2-107-23-238-236.compute-1.amazonaws.com:2379
2018-11-29 01:04:30.638473 I | etcdserver: initial advertise peer URLs = http://ec2-107-23-238-236.compute-1.amazonaws.com:2380
2018-11-29 01:04:30.638500 I | etcdserver: initial cluster = ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380,ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380
2018-11-29 01:04:30.642404 I | etcdserver: starting member 2d508dd0aa9ee691 in cluster d4e906640f16da25
2018-11-29 01:04:30.642435 I | raft: 2d508dd0aa9ee691 became follower at term 0
2018-11-29 01:04:30.642450 I | raft: newRaft 2d508dd0aa9ee691 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2018-11-29 01:04:30.642457 I | raft: 2d508dd0aa9ee691 became follower at term 1
2018-11-29 01:04:30.652604 I | rafthttp: starting peer 3474e3739df12d31...
2018-11-29 01:04:30.652659 I | rafthttp: started HTTP pipelining with peer 3474e3739df12d31
2018-11-29 01:04:30.655087 I | rafthttp: started streaming with peer 3474e3739df12d31 (writer)
2018-11-29 01:04:30.657306 I | rafthttp: started streaming with peer 3474e3739df12d31 (writer)
2018-11-29 01:04:30.657329 I | rafthttp: started peer 3474e3739df12d31
2018-11-29 01:04:30.657355 I | rafthttp: added peer 3474e3739df12d31
2018-11-29 01:04:30.657363 I | rafthttp: started streaming with peer 3474e3739df12d31 (stream MsgApp v2 reader)
2018-11-29 01:04:30.657378 I | rafthttp: starting peer a00c92baa5af8639...
2018-11-29 01:04:30.657426 I | rafthttp: started HTTP pipelining with peer a00c92baa5af8639
2018-11-29 01:04:30.657549 I | rafthttp: started streaming with peer 3474e3739df12d31 (stream Message reader)
