2018-11-29 20:53:52 Jepsen starting etcd :--log-output :stderr :--name ec2-18-232-141-137.compute-1.amazonaws.com :--listen-peer-urls http://ec2-18-232-141-137.compute-1.amazonaws.com:2380 :--listen-client-urls http://ec2-18-232-141-137.compute-1.amazonaws.com:2379 :--advertise-client-urls http://ec2-18-232-141-137.compute-1.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-18-232-141-137.compute-1.amazonaws.com:2380 :--initial-cluster ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380
2018-11-29 20:53:52.924638 I | etcdmain: etcd Version: 3.1.5
2018-11-29 20:53:52.924672 I | etcdmain: Git SHA: 20490ca
2018-11-29 20:53:52.924677 I | etcdmain: Go Version: go1.7.5
2018-11-29 20:53:52.924682 I | etcdmain: Go OS/Arch: linux/amd64
2018-11-29 20:53:52.924687 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2018-11-29 20:53:52.924695 W | etcdmain: no data-dir provided, using default data-dir ./ec2-18-232-141-137.compute-1.amazonaws.com.etcd
2018-11-29 20:53:52.924711 W | embed: expected IP in URL for binding (http://ec2-18-232-141-137.compute-1.amazonaws.com:2380)
2018-11-29 20:53:52.924718 W | embed: expected IP in URL for binding (http://ec2-18-232-141-137.compute-1.amazonaws.com:2379)
2018-11-29 20:53:52.926949 I | embed: listening for peers on http://ec2-18-232-141-137.compute-1.amazonaws.com:2380
2018-11-29 20:53:52.927456 I | embed: listening for client requests on ec2-18-232-141-137.compute-1.amazonaws.com:2379
2018-11-29 20:53:52.931413 I | pkg/netutil: resolving ec2-18-232-141-137.compute-1.amazonaws.com:2380 to 172.31.22.103:2380
2018-11-29 20:53:52.931821 I | pkg/netutil: resolving ec2-18-232-141-137.compute-1.amazonaws.com:2380 to 172.31.22.103:2380
2018-11-29 20:53:56.932812 I | etcdserver: name = ec2-18-232-141-137.compute-1.amazonaws.com
2018-11-29 20:53:56.932844 I | etcdserver: data dir = ec2-18-232-141-137.compute-1.amazonaws.com.etcd
2018-11-29 20:53:56.932854 I | etcdserver: member dir = ec2-18-232-141-137.compute-1.amazonaws.com.etcd/member
2018-11-29 20:53:56.932860 I | etcdserver: heartbeat = 100ms
2018-11-29 20:53:56.932865 I | etcdserver: election = 1000ms
2018-11-29 20:53:56.932870 I | etcdserver: snapshot count = 10000
2018-11-29 20:53:56.932883 I | etcdserver: advertise client URLs = http://ec2-18-232-141-137.compute-1.amazonaws.com:2379
2018-11-29 20:53:56.932909 I | etcdserver: initial advertise peer URLs = http://ec2-18-232-141-137.compute-1.amazonaws.com:2380
2018-11-29 20:53:56.932932 I | etcdserver: initial cluster = ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380,ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380
2018-11-29 20:53:56.936727 I | etcdserver: starting member cecac79a73f45067 in cluster d4e906640f16da25
2018-11-29 20:53:56.936756 I | raft: cecac79a73f45067 became follower at term 0
2018-11-29 20:53:56.936767 I | raft: newRaft cecac79a73f45067 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2018-11-29 20:53:56.936774 I | raft: cecac79a73f45067 became follower at term 1
2018-11-29 20:53:56.946544 I | rafthttp: starting peer 2d508dd0aa9ee691...
2018-11-29 20:53:56.946595 I | rafthttp: started HTTP pipelining with peer 2d508dd0aa9ee691
2018-11-29 20:53:56.948348 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 20:53:56.948383 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 20:53:56.951295 I | rafthttp: started peer 2d508dd0aa9ee691
2018-11-29 20:53:56.951326 I | rafthttp: added peer 2d508dd0aa9ee691
2018-11-29 20:53:56.951346 I | rafthttp: starting peer 3474e3739df12d31...
2018-11-29 20:53:56.951386 I | rafthttp: started HTTP pipelining with peer 3474e3739df12d31
2018-11-29 20:53:56.951801 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream MsgApp v2 reader)
2018-11-29 20:53:56.953627 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream Message reader)
2018-11-29 20:53:56.953900 I | rafthttp: started streaming with peer 3474e3739df12d31 (writer)
2018-11-29 20:53:56.955777 I | rafthttp: started peer 3474e3739df12d31
2018-11-29 20:53:56.955805 I | rafthttp: added peer 3474e3739df12d31
2018-11-29 20:53:56.955822 I | rafthttp: starting peer a00c92baa5af8639...
2018-11-29 20:53:56.955869 I | rafthttp: started HTTP pipelining with peer a00c92baa5af8639
2018-11-29 20:53:56.956741 I | rafthttp: started streaming with peer 3474e3739df12d31 (stream MsgApp v2 reader)
2018-11-29 20:53:56.958665 I | rafthttp: started streaming with peer a00c92baa5af8639 (writer)
2018-11-29 20:53:56.958682 I | rafthttp: started streaming with peer 3474e3739df12d31 (writer)
2018-11-29 20:53:56.958693 I | rafthttp: started streaming with peer a00c92baa5af8639 (writer)
2018-11-29 20:53:56.958702 I | rafthttp: started streaming with peer 3474e3739df12d31 (stream Message reader)
2018-11-29 20:53:56.958850 I | rafthttp: started peer a00c92baa5af8639
2018-11-29 20:53:56.958870 I | rafthttp: added peer a00c92baa5af8639
2018-11-29 20:53:56.958886 I | rafthttp: starting peer b230326f6c733c35...
2018-11-29 20:53:56.958907 I | rafthttp: started HTTP pipelining with peer b230326f6c733c35
2018-11-29 20:53:56.960093 I | rafthttp: started peer b230326f6c733c35
2018-11-29 20:53:56.960113 I | rafthttp: added peer b230326f6c733c35
2018-11-29 20:53:56.960128 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2018-11-29 20:53:56.960383 I | rafthttp: started streaming with peer a00c92baa5af8639 (stream MsgApp v2 reader)
2018-11-29 20:53:56.960549 I | rafthttp: started streaming with peer a00c92baa5af8639 (stream Message reader)
2018-11-29 20:53:56.960696 I | rafthttp: started streaming with peer b230326f6c733c35 (writer)
2018-11-29 20:53:56.960724 I | rafthttp: started streaming with peer b230326f6c733c35 (writer)
2018-11-29 20:53:56.960764 I | rafthttp: started streaming with peer b230326f6c733c35 (stream MsgApp v2 reader)
2018-11-29 20:53:56.960920 I | rafthttp: started streaming with peer b230326f6c733c35 (stream Message reader)
2018-11-29 20:53:56.962343 I | etcdserver/membership: added member 2d508dd0aa9ee691 [http://ec2-107-23-238-236.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 20:53:56.962641 I | etcdserver/membership: added member 3474e3739df12d31 [http://ec2-35-174-16-155.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
