2018-11-29 00:30:42 Jepsen starting etcd :--log-output :stderr :--name ec2-18-212-141-207.compute-1.amazonaws.com :--listen-peer-urls http://ec2-18-212-141-207.compute-1.amazonaws.com:2380 :--listen-client-urls http://ec2-18-212-141-207.compute-1.amazonaws.com:2379 :--advertise-client-urls http://ec2-18-212-141-207.compute-1.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-18-212-141-207.compute-1.amazonaws.com:2380 :--initial-cluster ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380
2018-11-29 00:30:42.731355 I | etcdmain: etcd Version: 3.1.5
2018-11-29 00:30:42.731451 I | etcdmain: Git SHA: 20490ca
2018-11-29 00:30:42.731459 I | etcdmain: Go Version: go1.7.5
2018-11-29 00:30:42.731464 I | etcdmain: Go OS/Arch: linux/amd64
2018-11-29 00:30:42.731469 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2018-11-29 00:30:42.731478 W | etcdmain: no data-dir provided, using default data-dir ./ec2-18-212-141-207.compute-1.amazonaws.com.etcd
2018-11-29 00:30:42.731492 W | embed: expected IP in URL for binding (http://ec2-18-212-141-207.compute-1.amazonaws.com:2380)
2018-11-29 00:30:42.731499 W | embed: expected IP in URL for binding (http://ec2-18-212-141-207.compute-1.amazonaws.com:2379)
2018-11-29 00:30:42.733791 I | embed: listening for peers on http://ec2-18-212-141-207.compute-1.amazonaws.com:2380
2018-11-29 00:30:42.734299 I | embed: listening for client requests on ec2-18-212-141-207.compute-1.amazonaws.com:2379
2018-11-29 00:30:42.737560 I | pkg/netutil: resolving ec2-18-212-141-207.compute-1.amazonaws.com:2380 to 172.31.16.109:2380
2018-11-29 00:30:42.738022 I | pkg/netutil: resolving ec2-18-212-141-207.compute-1.amazonaws.com:2380 to 172.31.16.109:2380
2018-11-29 00:30:46.739286 I | etcdserver: name = ec2-18-212-141-207.compute-1.amazonaws.com
2018-11-29 00:30:46.739318 I | etcdserver: data dir = ec2-18-212-141-207.compute-1.amazonaws.com.etcd
2018-11-29 00:30:46.739327 I | etcdserver: member dir = ec2-18-212-141-207.compute-1.amazonaws.com.etcd/member
2018-11-29 00:30:46.739333 I | etcdserver: heartbeat = 100ms
2018-11-29 00:30:46.739338 I | etcdserver: election = 1000ms
2018-11-29 00:30:46.739343 I | etcdserver: snapshot count = 10000
2018-11-29 00:30:46.739356 I | etcdserver: advertise client URLs = http://ec2-18-212-141-207.compute-1.amazonaws.com:2379
2018-11-29 00:30:46.739363 I | etcdserver: initial advertise peer URLs = http://ec2-18-212-141-207.compute-1.amazonaws.com:2380
2018-11-29 00:30:46.739389 I | etcdserver: initial cluster = ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380,ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380
2018-11-29 00:30:46.743890 I | etcdserver: starting member a00c92baa5af8639 in cluster d4e906640f16da25
2018-11-29 00:30:46.743918 I | raft: a00c92baa5af8639 became follower at term 0
2018-11-29 00:30:46.743928 I | raft: newRaft a00c92baa5af8639 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2018-11-29 00:30:46.743934 I | raft: a00c92baa5af8639 became follower at term 1
2018-11-29 00:30:46.755877 I | rafthttp: starting peer 2d508dd0aa9ee691...
2018-11-29 00:30:46.755927 I | rafthttp: started HTTP pipelining with peer 2d508dd0aa9ee691
2018-11-29 00:30:46.757333 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 00:30:46.760460 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 00:30:46.760483 I | rafthttp: started peer 2d508dd0aa9ee691
2018-11-29 00:30:46.760507 I | rafthttp: added peer 2d508dd0aa9ee691
2018-11-29 00:30:46.760547 I | rafthttp: starting peer 3474e3739df12d31...
2018-11-29 00:30:46.760571 I | rafthttp: started HTTP pipelining with peer 3474e3739df12d31
2018-11-29 00:30:46.760731 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream MsgApp v2 reader)
2018-11-29 00:30:46.760823 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream Message reader)
2018-11-29 00:30:46.762971 I | rafthttp: started streaming with peer 3474e3739df12d31 (writer)
2018-11-29 00:30:46.764731 I | rafthttp: started peer 3474e3739df12d31
2018-11-29 00:30:46.764754 I | rafthttp: added peer 3474e3739df12d31
2018-11-29 00:30:46.764772 I | rafthttp: starting peer b230326f6c733c35...
2018-11-29 00:30:46.764819 I | rafthttp: started HTTP pipelining with peer b230326f6c733c35
2018-11-29 00:30:46.766661 I | rafthttp: started peer b230326f6c733c35
2018-11-29 00:30:46.766686 I | rafthttp: added peer b230326f6c733c35
2018-11-29 00:30:46.766704 I | rafthttp: starting peer cecac79a73f45067...
2018-11-29 00:30:46.766737 I | rafthttp: started HTTP pipelining with peer cecac79a73f45067
2018-11-29 00:30:46.767073 I | rafthttp: started streaming with peer 3474e3739df12d31 (writer)
2018-11-29 00:30:46.767127 I | rafthttp: started streaming with peer 3474e3739df12d31 (stream MsgApp v2 reader)
2018-11-29 00:30:46.767421 I | rafthttp: started streaming with peer b230326f6c733c35 (stream MsgApp v2 reader)
2018-11-29 00:30:46.767980 I | rafthttp: started streaming with peer 3474e3739df12d31 (stream Message reader)
2018-11-29 00:30:46.768142 I | rafthttp: started streaming with peer b230326f6c733c35 (writer)
2018-11-29 00:30:46.769373 I | rafthttp: started peer cecac79a73f45067
2018-11-29 00:30:46.769397 I | rafthttp: added peer cecac79a73f45067
2018-11-29 00:30:46.769425 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2018-11-29 00:30:46.769717 I | rafthttp: started streaming with peer b230326f6c733c35 (writer)
2018-11-29 00:30:46.769739 I | rafthttp: started streaming with peer cecac79a73f45067 (writer)
2018-11-29 00:30:46.769790 I | rafthttp: started streaming with peer cecac79a73f45067 (writer)
2018-11-29 00:30:46.769819 I | rafthttp: started streaming with peer cecac79a73f45067 (stream MsgApp v2 reader)
2018-11-29 00:30:46.770030 I | rafthttp: started streaming with peer cecac79a73f45067 (stream Message reader)
2018-11-29 00:30:46.770896 I | rafthttp: started streaming with peer b230326f6c733c35 (stream Message reader)
2018-11-29 00:30:46.771617 I | rafthttp: peer 2d508dd0aa9ee691 became active
2018-11-29 00:30:46.771637 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream Message writer)
2018-11-29 00:30:46.771661 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream MsgApp v2 writer)
2018-11-29 00:30:46.771801 I | rafthttp: peer cecac79a73f45067 became active
2018-11-29 00:30:46.771818 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream Message writer)
2018-11-29 00:30:46.771839 I | rafthttp: peer 3474e3739df12d31 became active
2018-11-29 00:30:46.771856 I | rafthttp: established a TCP streaming connection with peer 3474e3739df12d31 (stream MsgApp v2 writer)
2018-11-29 00:30:46.771991 I | etcdserver/membership: added member 2d508dd0aa9ee691 [http://ec2-107-23-238-236.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 00:30:46.772140 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream MsgApp v2 writer)
2018-11-29 00:30:46.772215 I | etcdserver/membership: added member 3474e3739df12d31 [http://ec2-35-174-16-155.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 00:30:46.772362 I | etcdserver/membership: added member a00c92baa5af8639 [http://ec2-18-212-141-207.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 00:30:46.772521 I | etcdserver/membership: added member b230326f6c733c35 [http://ec2-18-234-71-213.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 00:30:46.772648 I | etcdserver/membership: added member cecac79a73f45067 [http://ec2-18-232-141-137.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 00:30:46.775109 I | rafthttp: established a TCP streaming connection with peer 3474e3739df12d31 (stream Message writer)
2018-11-29 00:30:46.802159 I | rafthttp: peer b230326f6c733c35 became active
2018-11-29 00:30:46.802188 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream MsgApp v2 writer)
2018-11-29 00:30:46.802257 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream Message writer)
2018-11-29 00:30:46.810929 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream MsgApp v2 reader)
2018-11-29 00:30:46.811038 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream Message reader)
2018-11-29 00:30:46.811359 I | rafthttp: established a TCP streaming connection with peer 3474e3739df12d31 (stream MsgApp v2 reader)
2018-11-29 00:30:46.812976 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream Message reader)
2018-11-29 00:30:46.813034 I | rafthttp: established a TCP streaming connection with peer 3474e3739df12d31 (stream Message reader)
2018-11-29 00:30:46.813082 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream MsgApp v2 reader)
2018-11-29 00:30:46.817281 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream MsgApp v2 reader)
2018-11-29 00:30:46.817397 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream Message reader)
2018-11-29 00:30:46.945034 I | raft: a00c92baa5af8639 [term: 1] received a MsgVote message with higher term from 3474e3739df12d31 [term: 2]
2018-11-29 00:30:46.945074 I | raft: a00c92baa5af8639 became follower at term 2
2018-11-29 00:30:46.945086 I | raft: a00c92baa5af8639 [logterm: 1, index: 5, vote: 0] cast MsgVote for 3474e3739df12d31 [logterm: 1, index: 5] at term 2
2018-11-29 00:30:46.946570 I | raft: raft.node: a00c92baa5af8639 elected leader 3474e3739df12d31 at term 2
2018-11-29 00:30:46.950376 I | etcdserver: published {Name:ec2-18-212-141-207.compute-1.amazonaws.com ClientURLs:[http://ec2-18-212-141-207.compute-1.amazonaws.com:2379]} to cluster d4e906640f16da25
2018-11-29 00:30:46.950461 I | embed: ready to serve client requests
2018-11-29 00:30:46.950726 N | embed: serving insecure client requests on 172.31.16.109:2379, this is strongly discouraged!
2018-11-29 00:30:46.951345 E | etcdmain: forgot to set Type=notify in systemd service file?
2018-11-29 00:30:46.957722 N | etcdserver/membership: set the initial cluster version to 3.1
2018-11-29 00:30:46.957765 I | etcdserver/api: enabled capabilities for version 3.1
