2018-11-29 00:26:10 Jepsen starting etcd :--log-output :stderr :--name ec2-35-174-16-155.compute-1.amazonaws.com :--listen-peer-urls http://ec2-35-174-16-155.compute-1.amazonaws.com:2380 :--listen-client-urls http://ec2-35-174-16-155.compute-1.amazonaws.com:2379 :--advertise-client-urls http://ec2-35-174-16-155.compute-1.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-35-174-16-155.compute-1.amazonaws.com:2380 :--initial-cluster ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380
2018-11-29 00:26:10.354083 I | etcdmain: etcd Version: 3.1.5
2018-11-29 00:26:10.354118 I | etcdmain: Git SHA: 20490ca
2018-11-29 00:26:10.354212 I | etcdmain: Go Version: go1.7.5
2018-11-29 00:26:10.354220 I | etcdmain: Go OS/Arch: linux/amd64
2018-11-29 00:26:10.354225 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2018-11-29 00:26:10.354234 W | etcdmain: no data-dir provided, using default data-dir ./ec2-35-174-16-155.compute-1.amazonaws.com.etcd
2018-11-29 00:26:10.354248 W | embed: expected IP in URL for binding (http://ec2-35-174-16-155.compute-1.amazonaws.com:2380)
2018-11-29 00:26:10.354259 W | embed: expected IP in URL for binding (http://ec2-35-174-16-155.compute-1.amazonaws.com:2379)
2018-11-29 00:26:10.360633 I | embed: listening for peers on http://ec2-35-174-16-155.compute-1.amazonaws.com:2380
2018-11-29 00:26:10.361140 I | embed: listening for client requests on ec2-35-174-16-155.compute-1.amazonaws.com:2379
2018-11-29 00:26:10.366042 I | pkg/netutil: resolving ec2-35-174-16-155.compute-1.amazonaws.com:2380 to 172.31.21.73:2380
2018-11-29 00:26:10.366437 I | pkg/netutil: resolving ec2-35-174-16-155.compute-1.amazonaws.com:2380 to 172.31.21.73:2380
2018-11-29 00:26:14.367393 I | etcdserver: name = ec2-35-174-16-155.compute-1.amazonaws.com
2018-11-29 00:26:14.367423 I | etcdserver: data dir = ec2-35-174-16-155.compute-1.amazonaws.com.etcd
2018-11-29 00:26:14.367431 I | etcdserver: member dir = ec2-35-174-16-155.compute-1.amazonaws.com.etcd/member
2018-11-29 00:26:14.367436 I | etcdserver: heartbeat = 100ms
2018-11-29 00:26:14.367441 I | etcdserver: election = 1000ms
2018-11-29 00:26:14.367446 I | etcdserver: snapshot count = 10000
2018-11-29 00:26:14.367458 I | etcdserver: advertise client URLs = http://ec2-35-174-16-155.compute-1.amazonaws.com:2379
2018-11-29 00:26:14.367466 I | etcdserver: initial advertise peer URLs = http://ec2-35-174-16-155.compute-1.amazonaws.com:2380
2018-11-29 00:26:14.367487 I | etcdserver: initial cluster = ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380,ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380
2018-11-29 00:26:14.372848 I | etcdserver: starting member 3474e3739df12d31 in cluster d4e906640f16da25
2018-11-29 00:26:14.372872 I | raft: 3474e3739df12d31 became follower at term 0
2018-11-29 00:26:14.372883 I | raft: newRaft 3474e3739df12d31 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2018-11-29 00:26:14.372889 I | raft: 3474e3739df12d31 became follower at term 1
2018-11-29 00:26:14.386411 I | rafthttp: starting peer 2d508dd0aa9ee691...
2018-11-29 00:26:14.386461 I | rafthttp: started HTTP pipelining with peer 2d508dd0aa9ee691
2018-11-29 00:26:14.389045 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 00:26:14.391297 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 00:26:14.391320 I | rafthttp: started peer 2d508dd0aa9ee691
2018-11-29 00:26:14.391347 I | rafthttp: added peer 2d508dd0aa9ee691
2018-11-29 00:26:14.391372 I | rafthttp: starting peer a00c92baa5af8639...
2018-11-29 00:26:14.391383 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream MsgApp v2 reader)
2018-11-29 00:26:14.391418 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream Message reader)
2018-11-29 00:26:14.391559 I | rafthttp: started HTTP pipelining with peer a00c92baa5af8639
2018-11-29 00:26:14.392973 I | rafthttp: started streaming with peer a00c92baa5af8639 (writer)
2018-11-29 00:26:14.394045 I | rafthttp: started peer a00c92baa5af8639
2018-11-29 00:26:14.394071 I | rafthttp: added peer a00c92baa5af8639
2018-11-29 00:26:14.394089 I | rafthttp: starting peer b230326f6c733c35...
2018-11-29 00:26:14.394116 I | rafthttp: started HTTP pipelining with peer b230326f6c733c35
2018-11-29 00:26:14.395949 I | rafthttp: started peer b230326f6c733c35
2018-11-29 00:26:14.395975 I | rafthttp: added peer b230326f6c733c35
2018-11-29 00:26:14.395991 I | rafthttp: starting peer cecac79a73f45067...
2018-11-29 00:26:14.396007 I | rafthttp: started HTTP pipelining with peer cecac79a73f45067
2018-11-29 00:26:14.396459 I | rafthttp: started streaming with peer a00c92baa5af8639 (writer)
2018-11-29 00:26:14.396475 I | rafthttp: started streaming with peer a00c92baa5af8639 (stream Message reader)
2018-11-29 00:26:14.398739 I | rafthttp: started streaming with peer b230326f6c733c35 (writer)
2018-11-29 00:26:14.398783 I | rafthttp: started streaming with peer b230326f6c733c35 (writer)
2018-11-29 00:26:14.399676 I | rafthttp: started streaming with peer b230326f6c733c35 (stream MsgApp v2 reader)
2018-11-29 00:26:14.399927 I | rafthttp: started streaming with peer b230326f6c733c35 (stream Message reader)
2018-11-29 00:26:14.400101 I | rafthttp: started streaming with peer a00c92baa5af8639 (stream MsgApp v2 reader)
2018-11-29 00:26:14.400210 I | rafthttp: started peer cecac79a73f45067
2018-11-29 00:26:14.400237 I | rafthttp: added peer cecac79a73f45067
2018-11-29 00:26:14.400252 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2018-11-29 00:26:14.400518 I | rafthttp: started streaming with peer cecac79a73f45067 (stream Message reader)
2018-11-29 00:26:14.401358 I | rafthttp: peer b230326f6c733c35 became active
2018-11-29 00:26:14.401376 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream Message writer)
2018-11-29 00:26:14.401388 I | rafthttp: started streaming with peer cecac79a73f45067 (writer)
2018-11-29 00:26:14.401398 I | rafthttp: started streaming with peer cecac79a73f45067 (writer)
2018-11-29 00:26:14.401407 I | rafthttp: started streaming with peer cecac79a73f45067 (stream MsgApp v2 reader)
2018-11-29 00:26:14.402788 I | rafthttp: peer cecac79a73f45067 became active
2018-11-29 00:26:14.402807 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream Message writer)
2018-11-29 00:26:14.404577 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream MsgApp v2 writer)
2018-11-29 00:26:14.404756 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream MsgApp v2 writer)
2018-11-29 00:26:14.404896 I | etcdserver/membership: added member 2d508dd0aa9ee691 [http://ec2-107-23-238-236.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 00:26:14.405030 I | etcdserver/membership: added member 3474e3739df12d31 [http://ec2-35-174-16-155.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 00:26:14.405161 I | etcdserver/membership: added member a00c92baa5af8639 [http://ec2-18-212-141-207.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 00:26:14.405340 I | etcdserver/membership: added member b230326f6c733c35 [http://ec2-18-234-71-213.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 00:26:14.405532 I | etcdserver/membership: added member cecac79a73f45067 [http://ec2-18-232-141-137.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 00:26:14.407064 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream Message reader)
2018-11-29 00:26:14.407087 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream MsgApp v2 reader)
2018-11-29 00:26:14.409161 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream MsgApp v2 reader)
2018-11-29 00:26:14.409210 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream Message reader)
2018-11-29 00:26:14.441399 I | rafthttp: peer a00c92baa5af8639 became active
2018-11-29 00:26:14.441427 I | rafthttp: established a TCP streaming connection with peer a00c92baa5af8639 (stream MsgApp v2 writer)
2018-11-29 00:26:14.441879 I | rafthttp: established a TCP streaming connection with peer a00c92baa5af8639 (stream Message writer)
2018-11-29 00:26:14.448559 I | rafthttp: peer 2d508dd0aa9ee691 became active
2018-11-29 00:26:14.448580 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream Message writer)
2018-11-29 00:26:14.448638 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream MsgApp v2 reader)
2018-11-29 00:26:14.448746 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream Message reader)
2018-11-29 00:26:14.448873 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream MsgApp v2 writer)
2018-11-29 00:26:14.449350 I | rafthttp: established a TCP streaming connection with peer a00c92baa5af8639 (stream MsgApp v2 reader)
2018-11-29 00:26:14.449766 I | rafthttp: established a TCP streaming connection with peer a00c92baa5af8639 (stream Message reader)
2018-11-29 00:26:14.609405 I | raft: 3474e3739df12d31 [term: 1] received a MsgVote message with higher term from 2d508dd0aa9ee691 [term: 2]
2018-11-29 00:26:14.609443 I | raft: 3474e3739df12d31 became follower at term 2
2018-11-29 00:26:14.609456 I | raft: 3474e3739df12d31 [logterm: 1, index: 5, vote: 0] cast MsgVote for 2d508dd0aa9ee691 [logterm: 1, index: 5] at term 2
2018-11-29 00:26:14.611033 I | raft: raft.node: 3474e3739df12d31 elected leader 2d508dd0aa9ee691 at term 2
2018-11-29 00:26:14.614550 I | etcdserver: published {Name:ec2-35-174-16-155.compute-1.amazonaws.com ClientURLs:[http://ec2-35-174-16-155.compute-1.amazonaws.com:2379]} to cluster d4e906640f16da25
2018-11-29 00:26:14.614597 I | embed: ready to serve client requests
2018-11-29 00:26:14.614618 E | etcdmain: forgot to set Type=notify in systemd service file?
2018-11-29 00:26:14.614865 N | embed: serving insecure client requests on 172.31.21.73:2379, this is strongly discouraged!
2018-11-29 00:26:14.620313 N | etcdserver/membership: set the initial cluster version to 3.1
2018-11-29 00:26:14.620351 I | etcdserver/api: enabled capabilities for version 3.1
