2018-11-29 23:11:51 Jepsen starting etcd :--log-output :stderr :--name ec2-18-212-141-207.compute-1.amazonaws.com :--listen-peer-urls http://ec2-18-212-141-207.compute-1.amazonaws.com:2380 :--listen-client-urls http://ec2-18-212-141-207.compute-1.amazonaws.com:2379 :--advertise-client-urls http://ec2-18-212-141-207.compute-1.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-18-212-141-207.compute-1.amazonaws.com:2380 :--initial-cluster ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380
2018-11-29 23:11:51.571063 I | etcdmain: etcd Version: 3.1.5
2018-11-29 23:11:51.571103 I | etcdmain: Git SHA: 20490ca
2018-11-29 23:11:51.571108 I | etcdmain: Go Version: go1.7.5
2018-11-29 23:11:51.571113 I | etcdmain: Go OS/Arch: linux/amd64
2018-11-29 23:11:51.571118 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2018-11-29 23:11:51.571126 W | etcdmain: no data-dir provided, using default data-dir ./ec2-18-212-141-207.compute-1.amazonaws.com.etcd
2018-11-29 23:11:51.571143 W | embed: expected IP in URL for binding (http://ec2-18-212-141-207.compute-1.amazonaws.com:2380)
2018-11-29 23:11:51.571151 W | embed: expected IP in URL for binding (http://ec2-18-212-141-207.compute-1.amazonaws.com:2379)
2018-11-29 23:11:51.576977 I | embed: listening for peers on http://ec2-18-212-141-207.compute-1.amazonaws.com:2380
2018-11-29 23:11:51.577531 I | embed: listening for client requests on ec2-18-212-141-207.compute-1.amazonaws.com:2379
2018-11-29 23:11:51.581593 I | pkg/netutil: resolving ec2-18-212-141-207.compute-1.amazonaws.com:2380 to 172.31.16.109:2380
2018-11-29 23:11:51.582068 I | pkg/netutil: resolving ec2-18-212-141-207.compute-1.amazonaws.com:2380 to 172.31.16.109:2380
2018-11-29 23:11:55.583231 I | etcdserver: name = ec2-18-212-141-207.compute-1.amazonaws.com
2018-11-29 23:11:55.583261 I | etcdserver: data dir = ec2-18-212-141-207.compute-1.amazonaws.com.etcd
2018-11-29 23:11:55.583269 I | etcdserver: member dir = ec2-18-212-141-207.compute-1.amazonaws.com.etcd/member
2018-11-29 23:11:55.583275 I | etcdserver: heartbeat = 100ms
2018-11-29 23:11:55.583279 I | etcdserver: election = 1000ms
2018-11-29 23:11:55.583285 I | etcdserver: snapshot count = 10000
2018-11-29 23:11:55.583297 I | etcdserver: advertise client URLs = http://ec2-18-212-141-207.compute-1.amazonaws.com:2379
2018-11-29 23:11:55.583304 I | etcdserver: initial advertise peer URLs = http://ec2-18-212-141-207.compute-1.amazonaws.com:2380
2018-11-29 23:11:55.583335 I | etcdserver: initial cluster = ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380,ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380
2018-11-29 23:11:55.587071 I | etcdserver: starting member a00c92baa5af8639 in cluster d4e906640f16da25
2018-11-29 23:11:55.587098 I | raft: a00c92baa5af8639 became follower at term 0
2018-11-29 23:11:55.587112 I | raft: newRaft a00c92baa5af8639 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2018-11-29 23:11:55.587118 I | raft: a00c92baa5af8639 became follower at term 1
2018-11-29 23:11:55.597310 I | rafthttp: starting peer 2d508dd0aa9ee691...
2018-11-29 23:11:55.597360 I | rafthttp: started HTTP pipelining with peer 2d508dd0aa9ee691
2018-11-29 23:11:55.599723 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 23:11:55.602032 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 23:11:55.602057 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream Message reader)
2018-11-29 23:11:55.602099 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream MsgApp v2 reader)
2018-11-29 23:11:55.602218 I | rafthttp: started peer 2d508dd0aa9ee691
2018-11-29 23:11:55.602248 I | rafthttp: added peer 2d508dd0aa9ee691
2018-11-29 23:11:55.602266 I | rafthttp: starting peer 3474e3739df12d31...
2018-11-29 23:11:55.602284 I | rafthttp: started HTTP pipelining with peer 3474e3739df12d31
2018-11-29 23:11:55.606443 I | rafthttp: started peer 3474e3739df12d31
2018-11-29 23:11:55.606469 I | rafthttp: added peer 3474e3739df12d31
2018-11-29 23:11:55.606487 I | rafthttp: starting peer b230326f6c733c35...
2018-11-29 23:11:55.606513 I | rafthttp: started HTTP pipelining with peer b230326f6c733c35
2018-11-29 23:11:55.607683 I | rafthttp: started streaming with peer 3474e3739df12d31 (writer)
2018-11-29 23:11:55.609530 I | rafthttp: started streaming with peer 3474e3739df12d31 (writer)
2018-11-29 23:11:55.609543 I | rafthttp: started streaming with peer 3474e3739df12d31 (stream MsgApp v2 reader)
2018-11-29 23:11:55.609799 I | rafthttp: started streaming with peer 3474e3739df12d31 (stream Message reader)
2018-11-29 23:11:55.609953 I | rafthttp: started peer b230326f6c733c35
2018-11-29 23:11:55.609982 I | rafthttp: added peer b230326f6c733c35
2018-11-29 23:11:55.609999 I | rafthttp: starting peer cecac79a73f45067...
2018-11-29 23:11:55.610021 I | rafthttp: started HTTP pipelining with peer cecac79a73f45067
2018-11-29 23:11:55.610671 I | rafthttp: started peer cecac79a73f45067
2018-11-29 23:11:55.610692 I | rafthttp: added peer cecac79a73f45067
2018-11-29 23:11:55.610707 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2018-11-29 23:11:55.611008 I | rafthttp: started streaming with peer b230326f6c733c35 (stream Message reader)
2018-11-29 23:11:55.611275 I | rafthttp: started streaming with peer cecac79a73f45067 (writer)
2018-11-29 23:11:55.611297 I | rafthttp: started streaming with peer cecac79a73f45067 (writer)
2018-11-29 23:11:55.611323 I | rafthttp: started streaming with peer cecac79a73f45067 (stream MsgApp v2 reader)
2018-11-29 23:11:55.611535 I | rafthttp: started streaming with peer cecac79a73f45067 (stream Message reader)
2018-11-29 23:11:55.612411 I | rafthttp: peer 2d508dd0aa9ee691 became active
2018-11-29 23:11:55.612429 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream Message writer)
2018-11-29 23:11:55.612441 I | rafthttp: started streaming with peer b230326f6c733c35 (writer)
2018-11-29 23:11:55.612456 I | rafthttp: started streaming with peer b230326f6c733c35 (writer)
2018-11-29 23:11:55.612466 I | rafthttp: started streaming with peer b230326f6c733c35 (stream MsgApp v2 reader)
2018-11-29 23:11:55.613769 I | rafthttp: peer cecac79a73f45067 became active
2018-11-29 23:11:55.613789 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream Message writer)
2018-11-29 23:11:55.613950 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream MsgApp v2 writer)
2018-11-29 23:11:55.614095 I | rafthttp: peer b230326f6c733c35 became active
2018-11-29 23:11:55.614111 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream MsgApp v2 writer)
2018-11-29 23:11:55.614248 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream Message writer)
2018-11-29 23:11:55.614396 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream MsgApp v2 writer)
2018-11-29 23:11:55.614523 I | etcdserver/membership: added member 2d508dd0aa9ee691 [http://ec2-107-23-238-236.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 23:11:55.614625 I | etcdserver/membership: added member 3474e3739df12d31 [http://ec2-35-174-16-155.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
