2018-11-29 19:13:52 Jepsen starting etcd :--log-output :stderr :--name ec2-107-23-238-236.compute-1.amazonaws.com :--listen-peer-urls http://ec2-107-23-238-236.compute-1.amazonaws.com:2380 :--listen-client-urls http://ec2-107-23-238-236.compute-1.amazonaws.com:2379 :--advertise-client-urls http://ec2-107-23-238-236.compute-1.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-107-23-238-236.compute-1.amazonaws.com:2380 :--initial-cluster ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380
2018-11-29 19:13:53.014191 I | etcdmain: etcd Version: 3.1.5
2018-11-29 19:13:53.014227 I | etcdmain: Git SHA: 20490ca
2018-11-29 19:13:53.014233 I | etcdmain: Go Version: go1.7.5
2018-11-29 19:13:53.014242 I | etcdmain: Go OS/Arch: linux/amd64
2018-11-29 19:13:53.014247 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2018-11-29 19:13:53.014256 W | etcdmain: no data-dir provided, using default data-dir ./ec2-107-23-238-236.compute-1.amazonaws.com.etcd
2018-11-29 19:13:53.014270 W | embed: expected IP in URL for binding (http://ec2-107-23-238-236.compute-1.amazonaws.com:2380)
2018-11-29 19:13:53.014277 W | embed: expected IP in URL for binding (http://ec2-107-23-238-236.compute-1.amazonaws.com:2379)
2018-11-29 19:13:53.016527 I | embed: listening for peers on http://ec2-107-23-238-236.compute-1.amazonaws.com:2380
2018-11-29 19:13:53.016995 I | embed: listening for client requests on ec2-107-23-238-236.compute-1.amazonaws.com:2379
2018-11-29 19:13:53.020534 I | pkg/netutil: resolving ec2-107-23-238-236.compute-1.amazonaws.com:2380 to 172.31.24.89:2380
2018-11-29 19:13:53.020943 I | pkg/netutil: resolving ec2-107-23-238-236.compute-1.amazonaws.com:2380 to 172.31.24.89:2380
2018-11-29 19:13:57.021952 I | etcdserver: name = ec2-107-23-238-236.compute-1.amazonaws.com
2018-11-29 19:13:57.021991 I | etcdserver: data dir = ec2-107-23-238-236.compute-1.amazonaws.com.etcd
2018-11-29 19:13:57.022000 I | etcdserver: member dir = ec2-107-23-238-236.compute-1.amazonaws.com.etcd/member
2018-11-29 19:13:57.022006 I | etcdserver: heartbeat = 100ms
2018-11-29 19:13:57.022011 I | etcdserver: election = 1000ms
2018-11-29 19:13:57.022017 I | etcdserver: snapshot count = 10000
2018-11-29 19:13:57.022045 I | etcdserver: advertise client URLs = http://ec2-107-23-238-236.compute-1.amazonaws.com:2379
2018-11-29 19:13:57.022054 I | etcdserver: initial advertise peer URLs = http://ec2-107-23-238-236.compute-1.amazonaws.com:2380
2018-11-29 19:13:57.022092 I | etcdserver: initial cluster = ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380,ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380
2018-11-29 19:13:57.026099 I | etcdserver: starting member 2d508dd0aa9ee691 in cluster d4e906640f16da25
2018-11-29 19:13:57.026127 I | raft: 2d508dd0aa9ee691 became follower at term 0
2018-11-29 19:13:57.026139 I | raft: newRaft 2d508dd0aa9ee691 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2018-11-29 19:13:57.026146 I | raft: 2d508dd0aa9ee691 became follower at term 1
2018-11-29 19:13:57.035951 I | rafthttp: starting peer 3474e3739df12d31...
2018-11-29 19:13:57.036008 I | rafthttp: started HTTP pipelining with peer 3474e3739df12d31
2018-11-29 19:13:57.038446 I | rafthttp: started streaming with peer 3474e3739df12d31 (writer)
2018-11-29 19:13:57.040727 I | rafthttp: started peer 3474e3739df12d31
2018-11-29 19:13:57.040760 I | rafthttp: added peer 3474e3739df12d31
2018-11-29 19:13:57.040779 I | rafthttp: started streaming with peer 3474e3739df12d31 (stream Message reader)
2018-11-29 19:13:57.040797 I | rafthttp: started streaming with peer 3474e3739df12d31 (writer)
2018-11-29 19:13:57.040833 I | rafthttp: started streaming with peer 3474e3739df12d31 (stream MsgApp v2 reader)
2018-11-29 19:13:57.040960 I | rafthttp: starting peer a00c92baa5af8639...
2018-11-29 19:13:57.040986 I | rafthttp: started HTTP pipelining with peer a00c92baa5af8639
2018-11-29 19:13:57.043362 I | rafthttp: started streaming with peer a00c92baa5af8639 (writer)
2018-11-29 19:13:57.045146 I | rafthttp: started peer a00c92baa5af8639
2018-11-29 19:13:57.045170 I | rafthttp: added peer a00c92baa5af8639
2018-11-29 19:13:57.045188 I | rafthttp: starting peer b230326f6c733c35...
2018-11-29 19:13:57.045218 I | rafthttp: started HTTP pipelining with peer b230326f6c733c35
2018-11-29 19:13:57.046590 I | rafthttp: started streaming with peer b230326f6c733c35 (writer)
2018-11-29 19:13:57.046723 I | rafthttp: started streaming with peer b230326f6c733c35 (writer)
2018-11-29 19:13:57.046829 I | rafthttp: started peer b230326f6c733c35
2018-11-29 19:13:57.046876 I | rafthttp: added peer b230326f6c733c35
2018-11-29 19:13:57.046910 I | rafthttp: starting peer cecac79a73f45067...
2018-11-29 19:13:57.046930 I | rafthttp: started HTTP pipelining with peer cecac79a73f45067
2018-11-29 19:13:57.047566 I | rafthttp: started streaming with peer a00c92baa5af8639 (writer)
2018-11-29 19:13:57.047632 I | rafthttp: started streaming with peer a00c92baa5af8639 (stream MsgApp v2 reader)
2018-11-29 19:13:57.048116 I | rafthttp: started streaming with peer b230326f6c733c35 (stream MsgApp v2 reader)
2018-11-29 19:13:57.049565 I | rafthttp: started peer cecac79a73f45067
2018-11-29 19:13:57.049589 I | rafthttp: added peer cecac79a73f45067
2018-11-29 19:13:57.049607 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2018-11-29 19:13:57.049885 I | rafthttp: started streaming with peer b230326f6c733c35 (stream Message reader)
2018-11-29 19:13:57.050026 I | rafthttp: started streaming with peer cecac79a73f45067 (writer)
2018-11-29 19:13:57.050046 I | rafthttp: started streaming with peer cecac79a73f45067 (writer)
2018-11-29 19:13:57.050073 I | rafthttp: started streaming with peer cecac79a73f45067 (stream MsgApp v2 reader)
2018-11-29 19:13:57.050260 I | rafthttp: started streaming with peer cecac79a73f45067 (stream Message reader)
2018-11-29 19:13:57.051107 I | rafthttp: started streaming with peer a00c92baa5af8639 (stream Message reader)
2018-11-29 19:13:57.051568 I | etcdserver/membership: added member 2d508dd0aa9ee691 [http://ec2-107-23-238-236.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 19:13:57.051673 I | etcdserver/membership: added member 3474e3739df12d31 [http://ec2-35-174-16-155.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 19:13:57.051775 I | etcdserver/membership: added member a00c92baa5af8639 [http://ec2-18-212-141-207.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 19:13:57.051882 I | etcdserver/membership: added member b230326f6c733c35 [http://ec2-18-234-71-213.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 19:13:57.052002 I | etcdserver/membership: added member cecac79a73f45067 [http://ec2-18-232-141-137.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 19:13:57.053878 I | rafthttp: peer cecac79a73f45067 became active
2018-11-29 19:13:57.053905 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream MsgApp v2 reader)
2018-11-29 19:13:57.054171 I | rafthttp: peer a00c92baa5af8639 became active
2018-11-29 19:13:57.054195 I | rafthttp: established a TCP streaming connection with peer a00c92baa5af8639 (stream MsgApp v2 writer)
2018-11-29 19:13:57.054316 I | rafthttp: established a TCP streaming connection with peer a00c92baa5af8639 (stream Message writer)
2018-11-29 19:13:57.054394 I | rafthttp: established a TCP streaming connection with peer a00c92baa5af8639 (stream MsgApp v2 reader)
2018-11-29 19:13:57.054550 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream Message reader)
2018-11-29 19:13:57.056265 I | rafthttp: established a TCP streaming connection with peer a00c92baa5af8639 (stream Message reader)
2018-11-29 19:13:57.056810 I | rafthttp: peer b230326f6c733c35 became active
2018-11-29 19:13:57.056829 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream Message writer)
