2018-11-29 21:49:07 Jepsen starting etcd :--log-output :stderr :--name ec2-18-212-141-207.compute-1.amazonaws.com :--listen-peer-urls http://ec2-18-212-141-207.compute-1.amazonaws.com:2380 :--listen-client-urls http://ec2-18-212-141-207.compute-1.amazonaws.com:2379 :--advertise-client-urls http://ec2-18-212-141-207.compute-1.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-18-212-141-207.compute-1.amazonaws.com:2380 :--initial-cluster ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380
2018-11-29 21:49:07.568174 I | etcdmain: etcd Version: 3.1.5
2018-11-29 21:49:07.568258 I | etcdmain: Git SHA: 20490ca
2018-11-29 21:49:07.568265 I | etcdmain: Go Version: go1.7.5
2018-11-29 21:49:07.568269 I | etcdmain: Go OS/Arch: linux/amd64
2018-11-29 21:49:07.568274 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2018-11-29 21:49:07.568283 W | etcdmain: no data-dir provided, using default data-dir ./ec2-18-212-141-207.compute-1.amazonaws.com.etcd
2018-11-29 21:49:07.568296 W | embed: expected IP in URL for binding (http://ec2-18-212-141-207.compute-1.amazonaws.com:2380)
2018-11-29 21:49:07.568303 W | embed: expected IP in URL for binding (http://ec2-18-212-141-207.compute-1.amazonaws.com:2379)
2018-11-29 21:49:07.570935 I | embed: listening for peers on http://ec2-18-212-141-207.compute-1.amazonaws.com:2380
2018-11-29 21:49:07.571404 I | embed: listening for client requests on ec2-18-212-141-207.compute-1.amazonaws.com:2379
2018-11-29 21:49:07.575301 I | pkg/netutil: resolving ec2-18-212-141-207.compute-1.amazonaws.com:2380 to 172.31.16.109:2380
2018-11-29 21:49:07.575699 I | pkg/netutil: resolving ec2-18-212-141-207.compute-1.amazonaws.com:2380 to 172.31.16.109:2380
2018-11-29 21:49:11.576904 I | etcdserver: name = ec2-18-212-141-207.compute-1.amazonaws.com
2018-11-29 21:49:11.576933 I | etcdserver: data dir = ec2-18-212-141-207.compute-1.amazonaws.com.etcd
2018-11-29 21:49:11.576940 I | etcdserver: member dir = ec2-18-212-141-207.compute-1.amazonaws.com.etcd/member
2018-11-29 21:49:11.576946 I | etcdserver: heartbeat = 100ms
2018-11-29 21:49:11.576951 I | etcdserver: election = 1000ms
2018-11-29 21:49:11.576959 I | etcdserver: snapshot count = 10000
2018-11-29 21:49:11.576971 I | etcdserver: advertise client URLs = http://ec2-18-212-141-207.compute-1.amazonaws.com:2379
2018-11-29 21:49:11.576978 I | etcdserver: initial advertise peer URLs = http://ec2-18-212-141-207.compute-1.amazonaws.com:2380
2018-11-29 21:49:11.577009 I | etcdserver: initial cluster = ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380,ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380
2018-11-29 21:49:11.581230 I | etcdserver: starting member a00c92baa5af8639 in cluster d4e906640f16da25
2018-11-29 21:49:11.581258 I | raft: a00c92baa5af8639 became follower at term 0
2018-11-29 21:49:11.581273 I | raft: newRaft a00c92baa5af8639 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2018-11-29 21:49:11.581280 I | raft: a00c92baa5af8639 became follower at term 1
2018-11-29 21:49:11.593624 I | rafthttp: starting peer 2d508dd0aa9ee691...
2018-11-29 21:49:11.593677 I | rafthttp: started HTTP pipelining with peer 2d508dd0aa9ee691
2018-11-29 21:49:11.595021 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 21:49:11.595112 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 21:49:11.598190 I | rafthttp: started peer 2d508dd0aa9ee691
2018-11-29 21:49:11.598218 I | rafthttp: added peer 2d508dd0aa9ee691
2018-11-29 21:49:11.598237 I | rafthttp: starting peer 3474e3739df12d31...
2018-11-29 21:49:11.598259 I | rafthttp: started HTTP pipelining with peer 3474e3739df12d31
2018-11-29 21:49:11.598690 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream MsgApp v2 reader)
2018-11-29 21:49:11.600543 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream Message reader)
2018-11-29 21:49:11.600819 I | rafthttp: started streaming with peer 3474e3739df12d31 (writer)
2018-11-29 21:49:11.602689 I | rafthttp: started peer 3474e3739df12d31
2018-11-29 21:49:11.602735 I | rafthttp: added peer 3474e3739df12d31
2018-11-29 21:49:11.602754 I | rafthttp: starting peer b230326f6c733c35...
2018-11-29 21:49:11.602781 I | rafthttp: started HTTP pipelining with peer b230326f6c733c35
2018-11-29 21:49:11.603710 I | rafthttp: started streaming with peer b230326f6c733c35 (writer)
2018-11-29 21:49:11.604035 I | rafthttp: started streaming with peer 3474e3739df12d31 (writer)
2018-11-29 21:49:11.604072 I | rafthttp: started streaming with peer 3474e3739df12d31 (stream MsgApp v2 reader)
2018-11-29 21:49:11.605061 I | rafthttp: started streaming with peer 3474e3739df12d31 (stream Message reader)
2018-11-29 21:49:11.605338 I | rafthttp: started peer b230326f6c733c35
2018-11-29 21:49:11.605362 I | rafthttp: added peer b230326f6c733c35
2018-11-29 21:49:11.605379 I | rafthttp: starting peer cecac79a73f45067...
2018-11-29 21:49:11.605420 I | rafthttp: started HTTP pipelining with peer cecac79a73f45067
2018-11-29 21:49:11.606030 I | rafthttp: started streaming with peer b230326f6c733c35 (stream MsgApp v2 reader)
2018-11-29 21:49:11.606221 I | rafthttp: started streaming with peer b230326f6c733c35 (writer)
2018-11-29 21:49:11.607606 I | rafthttp: started peer cecac79a73f45067
2018-11-29 21:49:11.607633 I | rafthttp: added peer cecac79a73f45067
2018-11-29 21:49:11.607649 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2018-11-29 21:49:11.608084 I | rafthttp: started streaming with peer cecac79a73f45067 (writer)
2018-11-29 21:49:11.608122 I | rafthttp: started streaming with peer cecac79a73f45067 (writer)
2018-11-29 21:49:11.608150 I | rafthttp: started streaming with peer cecac79a73f45067 (stream MsgApp v2 reader)
2018-11-29 21:49:11.608305 I | rafthttp: started streaming with peer cecac79a73f45067 (stream Message reader)
2018-11-29 21:49:11.608777 I | rafthttp: started streaming with peer b230326f6c733c35 (stream Message reader)
2018-11-29 21:49:11.609674 I | rafthttp: peer cecac79a73f45067 became active
2018-11-29 21:49:11.609695 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream MsgApp v2 writer)
2018-11-29 21:49:11.609826 I | etcdserver/membership: added member 2d508dd0aa9ee691 [http://ec2-107-23-238-236.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 21:49:11.609956 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream Message writer)
2018-11-29 21:49:11.610036 I | etcdserver/membership: added member 3474e3739df12d31 [http://ec2-35-174-16-155.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 21:49:11.610203 I | etcdserver/membership: added member a00c92baa5af8639 [http://ec2-18-212-141-207.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 21:49:11.610389 I | etcdserver/membership: added member b230326f6c733c35 [http://ec2-18-234-71-213.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 21:49:11.610491 I | rafthttp: peer b230326f6c733c35 became active
2018-11-29 21:49:11.610511 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream MsgApp v2 writer)
2018-11-29 21:49:11.610546 I | etcdserver/membership: added member cecac79a73f45067 [http://ec2-18-232-141-137.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 21:49:11.610718 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream Message writer)
2018-11-29 21:49:11.610789 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream MsgApp v2 reader)
2018-11-29 21:49:11.611743 I | rafthttp: peer 3474e3739df12d31 became active
2018-11-29 21:49:11.611779 I | rafthttp: established a TCP streaming connection with peer 3474e3739df12d31 (stream MsgApp v2 writer)
2018-11-29 21:49:11.611936 I | rafthttp: peer 2d508dd0aa9ee691 became active
2018-11-29 21:49:11.611952 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream MsgApp v2 writer)
2018-11-29 21:49:11.612042 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream Message writer)
2018-11-29 21:49:11.612100 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream MsgApp v2 reader)
2018-11-29 21:49:11.612560 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream MsgApp v2 reader)
2018-11-29 21:49:11.612574 I | rafthttp: established a TCP streaming connection with peer 3474e3739df12d31 (stream Message writer)
2018-11-29 21:49:11.612836 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream Message reader)
2018-11-29 21:49:11.614216 I | rafthttp: established a TCP streaming connection with peer 3474e3739df12d31 (stream Message reader)
2018-11-29 21:49:11.614268 I | rafthttp: established a TCP streaming connection with peer 3474e3739df12d31 (stream MsgApp v2 reader)
2018-11-29 21:49:11.614400 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream Message reader)
2018-11-29 21:49:11.616036 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream Message reader)
2018-11-29 21:49:11.781912 I | raft: a00c92baa5af8639 [term: 1] received a MsgVote message with higher term from b230326f6c733c35 [term: 2]
2018-11-29 21:49:11.781950 I | raft: a00c92baa5af8639 became follower at term 2
2018-11-29 21:49:11.781963 I | raft: a00c92baa5af8639 [logterm: 1, index: 5, vote: 0] cast MsgVote for b230326f6c733c35 [logterm: 1, index: 5] at term 2
2018-11-29 21:49:11.783486 I | raft: raft.node: a00c92baa5af8639 elected leader b230326f6c733c35 at term 2
2018-11-29 21:49:11.787271 I | etcdserver: published {Name:ec2-18-212-141-207.compute-1.amazonaws.com ClientURLs:[http://ec2-18-212-141-207.compute-1.amazonaws.com:2379]} to cluster d4e906640f16da25
2018-11-29 21:49:11.787317 I | embed: ready to serve client requests
2018-11-29 21:49:11.787704 E | etcdmain: forgot to set Type=notify in systemd service file?
2018-11-29 21:49:11.787725 N | embed: serving insecure client requests on 172.31.16.109:2379, this is strongly discouraged!
2018-11-29 21:49:11.794365 N | etcdserver/membership: set the initial cluster version to 3.1
2018-11-29 21:49:11.794406 I | etcdserver/api: enabled capabilities for version 3.1
2018-11-29 21:49:16.608660 W | rafthttp: the clock difference against peer cecac79a73f45067 is too high [1.111151835s > 1s]
2018-11-29 21:49:24.482017 I | raft: a00c92baa5af8639 [term: 2] received a MsgVote message with higher term from cecac79a73f45067 [term: 3]
2018-11-29 21:49:24.482057 I | raft: a00c92baa5af8639 became follower at term 3
2018-11-29 21:49:24.482076 I | raft: a00c92baa5af8639 [logterm: 2, index: 47, vote: 0] cast MsgVote for cecac79a73f45067 [logterm: 2, index: 47] at term 3
2018-11-29 21:49:24.482084 I | raft: raft.node: a00c92baa5af8639 lost leader b230326f6c733c35 at term 3
2018-11-29 21:49:24.483985 I | raft: raft.node: a00c92baa5af8639 elected leader cecac79a73f45067 at term 3
2018-11-29 21:49:26.601380 W | rafthttp: lost the TCP streaming connection with peer 2d508dd0aa9ee691 (stream MsgApp v2 reader)
2018-11-29 21:49:26.601422 E | rafthttp: failed to read 2d508dd0aa9ee691 on stream MsgApp v2 (read tcp 172.31.16.109:35545->172.31.24.89:2380: i/o timeout)
2018-11-29 21:49:26.601429 I | rafthttp: peer 2d508dd0aa9ee691 became inactive
2018-11-29 21:49:26.602483 W | rafthttp: lost the TCP streaming connection with peer 2d508dd0aa9ee691 (stream Message reader)
