2018-11-29 23:15:14 Jepsen starting etcd :--log-output :stderr :--name ec2-18-212-141-207.compute-1.amazonaws.com :--listen-peer-urls http://ec2-18-212-141-207.compute-1.amazonaws.com:2380 :--listen-client-urls http://ec2-18-212-141-207.compute-1.amazonaws.com:2379 :--advertise-client-urls http://ec2-18-212-141-207.compute-1.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-18-212-141-207.compute-1.amazonaws.com:2380 :--initial-cluster ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380
2018-11-29 23:15:15.058255 I | etcdmain: etcd Version: 3.1.5
2018-11-29 23:15:15.058286 I | etcdmain: Git SHA: 20490ca
2018-11-29 23:15:15.058291 I | etcdmain: Go Version: go1.7.5
2018-11-29 23:15:15.058296 I | etcdmain: Go OS/Arch: linux/amd64
2018-11-29 23:15:15.058301 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2018-11-29 23:15:15.058309 W | etcdmain: no data-dir provided, using default data-dir ./ec2-18-212-141-207.compute-1.amazonaws.com.etcd
2018-11-29 23:15:15.058321 W | embed: expected IP in URL for binding (http://ec2-18-212-141-207.compute-1.amazonaws.com:2380)
2018-11-29 23:15:15.058328 W | embed: expected IP in URL for binding (http://ec2-18-212-141-207.compute-1.amazonaws.com:2379)
2018-11-29 23:15:15.060383 I | embed: listening for peers on http://ec2-18-212-141-207.compute-1.amazonaws.com:2380
2018-11-29 23:15:15.060825 I | embed: listening for client requests on ec2-18-212-141-207.compute-1.amazonaws.com:2379
2018-11-29 23:15:15.065054 I | pkg/netutil: resolving ec2-18-212-141-207.compute-1.amazonaws.com:2380 to 172.31.16.109:2380
2018-11-29 23:15:15.065494 I | pkg/netutil: resolving ec2-18-212-141-207.compute-1.amazonaws.com:2380 to 172.31.16.109:2380
2018-11-29 23:15:19.066649 I | etcdserver: name = ec2-18-212-141-207.compute-1.amazonaws.com
2018-11-29 23:15:19.066687 I | etcdserver: data dir = ec2-18-212-141-207.compute-1.amazonaws.com.etcd
2018-11-29 23:15:19.066695 I | etcdserver: member dir = ec2-18-212-141-207.compute-1.amazonaws.com.etcd/member
2018-11-29 23:15:19.066701 I | etcdserver: heartbeat = 100ms
2018-11-29 23:15:19.066705 I | etcdserver: election = 1000ms
2018-11-29 23:15:19.066710 I | etcdserver: snapshot count = 10000
2018-11-29 23:15:19.066751 I | etcdserver: advertise client URLs = http://ec2-18-212-141-207.compute-1.amazonaws.com:2379
2018-11-29 23:15:19.066760 I | etcdserver: initial advertise peer URLs = http://ec2-18-212-141-207.compute-1.amazonaws.com:2380
2018-11-29 23:15:19.066780 I | etcdserver: initial cluster = ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380,ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380
2018-11-29 23:15:19.070714 I | etcdserver: starting member a00c92baa5af8639 in cluster d4e906640f16da25
2018-11-29 23:15:19.070741 I | raft: a00c92baa5af8639 became follower at term 0
2018-11-29 23:15:19.070755 I | raft: newRaft a00c92baa5af8639 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2018-11-29 23:15:19.070761 I | raft: a00c92baa5af8639 became follower at term 1
2018-11-29 23:15:19.081017 I | rafthttp: starting peer 2d508dd0aa9ee691...
2018-11-29 23:15:19.081076 I | rafthttp: started HTTP pipelining with peer 2d508dd0aa9ee691
2018-11-29 23:15:19.082577 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 23:15:19.085713 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 23:15:19.085727 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream MsgApp v2 reader)
2018-11-29 23:15:19.085991 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream Message reader)
2018-11-29 23:15:19.086149 I | rafthttp: started peer 2d508dd0aa9ee691
2018-11-29 23:15:19.086186 I | rafthttp: added peer 2d508dd0aa9ee691
2018-11-29 23:15:19.086204 I | rafthttp: starting peer 3474e3739df12d31...
2018-11-29 23:15:19.086221 I | rafthttp: started HTTP pipelining with peer 3474e3739df12d31
2018-11-29 23:15:19.087239 I | rafthttp: started streaming with peer 3474e3739df12d31 (writer)
2018-11-29 23:15:19.089109 I | rafthttp: started peer 3474e3739df12d31
2018-11-29 23:15:19.089140 I | rafthttp: added peer 3474e3739df12d31
2018-11-29 23:15:19.089159 I | rafthttp: starting peer b230326f6c733c35...
2018-11-29 23:15:19.089183 I | rafthttp: started HTTP pipelining with peer b230326f6c733c35
2018-11-29 23:15:19.090646 I | rafthttp: started streaming with peer 3474e3739df12d31 (writer)
2018-11-29 23:15:19.090826 I | rafthttp: started streaming with peer b230326f6c733c35 (writer)
2018-11-29 23:15:19.091536 I | rafthttp: started peer b230326f6c733c35
2018-11-29 23:15:19.091603 I | rafthttp: added peer b230326f6c733c35
2018-11-29 23:15:19.091623 I | rafthttp: starting peer cecac79a73f45067...
2018-11-29 23:15:19.091658 I | rafthttp: started HTTP pipelining with peer cecac79a73f45067
