2018-11-29 18:53:13 Jepsen starting etcd :--log-output :stderr :--name ec2-107-23-238-236.compute-1.amazonaws.com :--listen-peer-urls http://ec2-107-23-238-236.compute-1.amazonaws.com:2380 :--listen-client-urls http://ec2-107-23-238-236.compute-1.amazonaws.com:2379 :--advertise-client-urls http://ec2-107-23-238-236.compute-1.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-107-23-238-236.compute-1.amazonaws.com:2380 :--initial-cluster ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380
2018-11-29 18:53:13.194459 I | etcdmain: etcd Version: 3.1.5
2018-11-29 18:53:13.194498 I | etcdmain: Git SHA: 20490ca
2018-11-29 18:53:13.194504 I | etcdmain: Go Version: go1.7.5
2018-11-29 18:53:13.194509 I | etcdmain: Go OS/Arch: linux/amd64
2018-11-29 18:53:13.194514 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2018-11-29 18:53:13.194523 W | etcdmain: no data-dir provided, using default data-dir ./ec2-107-23-238-236.compute-1.amazonaws.com.etcd
2018-11-29 18:53:13.194540 W | embed: expected IP in URL for binding (http://ec2-107-23-238-236.compute-1.amazonaws.com:2380)
2018-11-29 18:53:13.194547 W | embed: expected IP in URL for binding (http://ec2-107-23-238-236.compute-1.amazonaws.com:2379)
2018-11-29 18:53:13.196914 I | embed: listening for peers on http://ec2-107-23-238-236.compute-1.amazonaws.com:2380
2018-11-29 18:53:13.197405 I | embed: listening for client requests on ec2-107-23-238-236.compute-1.amazonaws.com:2379
2018-11-29 18:53:13.202116 I | pkg/netutil: resolving ec2-107-23-238-236.compute-1.amazonaws.com:2380 to 172.31.24.89:2380
2018-11-29 18:53:13.202551 I | pkg/netutil: resolving ec2-107-23-238-236.compute-1.amazonaws.com:2380 to 172.31.24.89:2380
2018-11-29 18:53:17.203681 I | etcdserver: name = ec2-107-23-238-236.compute-1.amazonaws.com
2018-11-29 18:53:17.203718 I | etcdserver: data dir = ec2-107-23-238-236.compute-1.amazonaws.com.etcd
2018-11-29 18:53:17.203735 I | etcdserver: member dir = ec2-107-23-238-236.compute-1.amazonaws.com.etcd/member
2018-11-29 18:53:17.203742 I | etcdserver: heartbeat = 100ms
2018-11-29 18:53:17.203762 I | etcdserver: election = 1000ms
2018-11-29 18:53:17.203768 I | etcdserver: snapshot count = 10000
2018-11-29 18:53:17.203783 I | etcdserver: advertise client URLs = http://ec2-107-23-238-236.compute-1.amazonaws.com:2379
2018-11-29 18:53:17.203791 I | etcdserver: initial advertise peer URLs = http://ec2-107-23-238-236.compute-1.amazonaws.com:2380
2018-11-29 18:53:17.203823 I | etcdserver: initial cluster = ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380,ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380
2018-11-29 18:53:17.207360 I | etcdserver: starting member 2d508dd0aa9ee691 in cluster d4e906640f16da25
2018-11-29 18:53:17.207391 I | raft: 2d508dd0aa9ee691 became follower at term 0
2018-11-29 18:53:17.207403 I | raft: newRaft 2d508dd0aa9ee691 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2018-11-29 18:53:17.207410 I | raft: 2d508dd0aa9ee691 became follower at term 1
2018-11-29 18:53:17.217340 I | rafthttp: starting peer 3474e3739df12d31...
2018-11-29 18:53:17.217389 I | rafthttp: started HTTP pipelining with peer 3474e3739df12d31
2018-11-29 18:53:17.218809 I | rafthttp: started streaming with peer 3474e3739df12d31 (writer)
2018-11-29 18:53:17.218918 I | rafthttp: started streaming with peer 3474e3739df12d31 (writer)
2018-11-29 18:53:17.222438 I | rafthttp: started peer 3474e3739df12d31
2018-11-29 18:53:17.222469 I | rafthttp: added peer 3474e3739df12d31
2018-11-29 18:53:17.222489 I | rafthttp: starting peer a00c92baa5af8639...
2018-11-29 18:53:17.222512 I | rafthttp: started HTTP pipelining with peer a00c92baa5af8639
2018-11-29 18:53:17.222977 I | rafthttp: started streaming with peer 3474e3739df12d31 (stream MsgApp v2 reader)
2018-11-29 18:53:17.225137 I | rafthttp: started streaming with peer a00c92baa5af8639 (writer)
2018-11-29 18:53:17.225253 I | rafthttp: started streaming with peer 3474e3739df12d31 (stream Message reader)
2018-11-29 18:53:17.225733 I | rafthttp: started peer a00c92baa5af8639
2018-11-29 18:53:17.225758 I | rafthttp: added peer a00c92baa5af8639
2018-11-29 18:53:17.225792 I | rafthttp: starting peer b230326f6c733c35...
2018-11-29 18:53:17.225819 I | rafthttp: started HTTP pipelining with peer b230326f6c733c35
2018-11-29 18:53:17.227364 I | rafthttp: started streaming with peer a00c92baa5af8639 (stream Message reader)
2018-11-29 18:53:17.227940 I | rafthttp: started streaming with peer b230326f6c733c35 (writer)
2018-11-29 18:53:17.227952 I | rafthttp: started streaming with peer b230326f6c733c35 (writer)
2018-11-29 18:53:17.227973 I | rafthttp: started streaming with peer a00c92baa5af8639 (writer)
2018-11-29 18:53:17.227992 I | rafthttp: started streaming with peer a00c92baa5af8639 (stream MsgApp v2 reader)
2018-11-29 18:53:17.228998 I | rafthttp: started peer b230326f6c733c35
2018-11-29 18:53:17.229055 I | rafthttp: added peer b230326f6c733c35
2018-11-29 18:53:17.229096 I | rafthttp: starting peer cecac79a73f45067...
2018-11-29 18:53:17.229138 I | rafthttp: started HTTP pipelining with peer cecac79a73f45067
2018-11-29 18:53:17.231128 I | rafthttp: started peer cecac79a73f45067
2018-11-29 18:53:17.231148 I | rafthttp: added peer cecac79a73f45067
2018-11-29 18:53:17.231167 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2018-11-29 18:53:17.231475 I | rafthttp: started streaming with peer b230326f6c733c35 (stream MsgApp v2 reader)
2018-11-29 18:53:17.231678 I | rafthttp: started streaming with peer b230326f6c733c35 (stream Message reader)
2018-11-29 18:53:17.231851 I | rafthttp: started streaming with peer cecac79a73f45067 (writer)
2018-11-29 18:53:17.231889 I | rafthttp: started streaming with peer cecac79a73f45067 (writer)
2018-11-29 18:53:17.231933 I | rafthttp: started streaming with peer cecac79a73f45067 (stream MsgApp v2 reader)
2018-11-29 18:53:17.232116 I | rafthttp: started streaming with peer cecac79a73f45067 (stream Message reader)
