2018-11-29 00:13:26 Jepsen starting etcd :--log-output :stderr :--name ec2-18-232-141-137.compute-1.amazonaws.com :--listen-peer-urls http://ec2-18-232-141-137.compute-1.amazonaws.com:2380 :--listen-client-urls http://ec2-18-232-141-137.compute-1.amazonaws.com:2379 :--advertise-client-urls http://ec2-18-232-141-137.compute-1.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-18-232-141-137.compute-1.amazonaws.com:2380 :--initial-cluster ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380
2018-11-29 00:13:26.909863 I | etcdmain: etcd Version: 3.1.5
2018-11-29 00:13:26.909895 I | etcdmain: Git SHA: 20490ca
2018-11-29 00:13:26.909901 I | etcdmain: Go Version: go1.7.5
2018-11-29 00:13:26.909906 I | etcdmain: Go OS/Arch: linux/amd64
2018-11-29 00:13:26.909911 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2018-11-29 00:13:26.909921 W | etcdmain: no data-dir provided, using default data-dir ./ec2-18-232-141-137.compute-1.amazonaws.com.etcd
2018-11-29 00:13:26.909933 W | embed: expected IP in URL for binding (http://ec2-18-232-141-137.compute-1.amazonaws.com:2380)
2018-11-29 00:13:26.909943 W | embed: expected IP in URL for binding (http://ec2-18-232-141-137.compute-1.amazonaws.com:2379)
2018-11-29 00:13:26.911872 I | embed: listening for peers on http://ec2-18-232-141-137.compute-1.amazonaws.com:2380
2018-11-29 00:13:26.912395 I | embed: listening for client requests on ec2-18-232-141-137.compute-1.amazonaws.com:2379
2018-11-29 00:13:26.915822 I | pkg/netutil: resolving ec2-18-232-141-137.compute-1.amazonaws.com:2380 to 172.31.22.103:2380
2018-11-29 00:13:26.916232 I | pkg/netutil: resolving ec2-18-232-141-137.compute-1.amazonaws.com:2380 to 172.31.22.103:2380
2018-11-29 00:13:30.917257 I | etcdserver: name = ec2-18-232-141-137.compute-1.amazonaws.com
2018-11-29 00:13:30.917291 I | etcdserver: data dir = ec2-18-232-141-137.compute-1.amazonaws.com.etcd
2018-11-29 00:13:30.917299 I | etcdserver: member dir = ec2-18-232-141-137.compute-1.amazonaws.com.etcd/member
2018-11-29 00:13:30.917305 I | etcdserver: heartbeat = 100ms
2018-11-29 00:13:30.917310 I | etcdserver: election = 1000ms
2018-11-29 00:13:30.917315 I | etcdserver: snapshot count = 10000
2018-11-29 00:13:30.917343 I | etcdserver: advertise client URLs = http://ec2-18-232-141-137.compute-1.amazonaws.com:2379
2018-11-29 00:13:30.917353 I | etcdserver: initial advertise peer URLs = http://ec2-18-232-141-137.compute-1.amazonaws.com:2380
2018-11-29 00:13:30.917374 I | etcdserver: initial cluster = ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380,ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380
2018-11-29 00:13:30.922343 I | etcdserver: starting member cecac79a73f45067 in cluster d4e906640f16da25
2018-11-29 00:13:30.922371 I | raft: cecac79a73f45067 became follower at term 0
2018-11-29 00:13:30.922383 I | raft: newRaft cecac79a73f45067 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2018-11-29 00:13:30.922389 I | raft: cecac79a73f45067 became follower at term 1
2018-11-29 00:13:30.933784 I | rafthttp: starting peer 2d508dd0aa9ee691...
2018-11-29 00:13:30.933831 I | rafthttp: started HTTP pipelining with peer 2d508dd0aa9ee691
2018-11-29 00:13:30.938492 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 00:13:30.938531 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream Message reader)
2018-11-29 00:13:30.938597 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream MsgApp v2 reader)
2018-11-29 00:13:30.938707 I | rafthttp: started peer 2d508dd0aa9ee691
2018-11-29 00:13:30.938762 I | rafthttp: added peer 2d508dd0aa9ee691
2018-11-29 00:13:30.938783 I | rafthttp: starting peer 3474e3739df12d31...
2018-11-29 00:13:30.938820 I | rafthttp: started HTTP pipelining with peer 3474e3739df12d31
2018-11-29 00:13:30.938871 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 00:13:30.941284 I | rafthttp: started streaming with peer 3474e3739df12d31 (writer)
2018-11-29 00:13:30.941487 I | rafthttp: started streaming with peer 3474e3739df12d31 (writer)
2018-11-29 00:13:30.943600 I | rafthttp: started peer 3474e3739df12d31
2018-11-29 00:13:30.943627 I | rafthttp: added peer 3474e3739df12d31
2018-11-29 00:13:30.943645 I | rafthttp: starting peer a00c92baa5af8639...
2018-11-29 00:13:30.943663 I | rafthttp: started HTTP pipelining with peer a00c92baa5af8639
2018-11-29 00:13:30.944745 I | rafthttp: started peer a00c92baa5af8639
2018-11-29 00:13:30.944787 I | rafthttp: added peer a00c92baa5af8639
2018-11-29 00:13:30.944805 I | rafthttp: starting peer b230326f6c733c35...
2018-11-29 00:13:30.944826 I | rafthttp: started HTTP pipelining with peer b230326f6c733c35
2018-11-29 00:13:30.945117 I | rafthttp: started streaming with peer 3474e3739df12d31 (stream Message reader)
2018-11-29 00:13:30.945450 I | rafthttp: started streaming with peer b230326f6c733c35 (writer)
2018-11-29 00:13:30.945469 I | rafthttp: started streaming with peer b230326f6c733c35 (writer)
2018-11-29 00:13:30.946353 I | rafthttp: started peer b230326f6c733c35
2018-11-29 00:13:30.946376 I | rafthttp: added peer b230326f6c733c35
2018-11-29 00:13:30.946394 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2018-11-29 00:13:30.947454 I | rafthttp: started streaming with peer b230326f6c733c35 (stream MsgApp v2 reader)
2018-11-29 00:13:30.947668 I | rafthttp: started streaming with peer b230326f6c733c35 (stream Message reader)
2018-11-29 00:13:30.949355 I | etcdserver/membership: added member 2d508dd0aa9ee691 [http://ec2-107-23-238-236.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 00:13:30.949471 I | etcdserver/membership: added member 3474e3739df12d31 [http://ec2-35-174-16-155.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 00:13:30.949567 I | etcdserver/membership: added member a00c92baa5af8639 [http://ec2-18-212-141-207.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 00:13:30.949667 I | etcdserver/membership: added member b230326f6c733c35 [http://ec2-18-234-71-213.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 00:13:30.949771 I | etcdserver/membership: added member cecac79a73f45067 [http://ec2-18-232-141-137.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 00:13:30.949829 I | rafthttp: peer 2d508dd0aa9ee691 became active
2018-11-29 00:13:30.949842 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream MsgApp v2 reader)
