2018-11-29 23:10:19 Jepsen starting etcd :--log-output :stderr :--name ec2-35-174-16-155.compute-1.amazonaws.com :--listen-peer-urls http://ec2-35-174-16-155.compute-1.amazonaws.com:2380 :--listen-client-urls http://ec2-35-174-16-155.compute-1.amazonaws.com:2379 :--advertise-client-urls http://ec2-35-174-16-155.compute-1.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-35-174-16-155.compute-1.amazonaws.com:2380 :--initial-cluster ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380
2018-11-29 23:10:19.540534 I | etcdmain: etcd Version: 3.1.5
2018-11-29 23:10:19.540569 I | etcdmain: Git SHA: 20490ca
2018-11-29 23:10:19.540575 I | etcdmain: Go Version: go1.7.5
2018-11-29 23:10:19.540580 I | etcdmain: Go OS/Arch: linux/amd64
2018-11-29 23:10:19.540585 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2018-11-29 23:10:19.540593 W | etcdmain: no data-dir provided, using default data-dir ./ec2-35-174-16-155.compute-1.amazonaws.com.etcd
2018-11-29 23:10:19.540607 W | embed: expected IP in URL for binding (http://ec2-35-174-16-155.compute-1.amazonaws.com:2380)
2018-11-29 23:10:19.540618 W | embed: expected IP in URL for binding (http://ec2-35-174-16-155.compute-1.amazonaws.com:2379)
2018-11-29 23:10:19.542413 I | embed: listening for peers on http://ec2-35-174-16-155.compute-1.amazonaws.com:2380
2018-11-29 23:10:19.543009 I | embed: listening for client requests on ec2-35-174-16-155.compute-1.amazonaws.com:2379
2018-11-29 23:10:19.547282 I | pkg/netutil: resolving ec2-35-174-16-155.compute-1.amazonaws.com:2380 to 172.31.21.73:2380
2018-11-29 23:10:19.547752 I | pkg/netutil: resolving ec2-35-174-16-155.compute-1.amazonaws.com:2380 to 172.31.21.73:2380
2018-11-29 23:10:23.548878 I | etcdserver: name = ec2-35-174-16-155.compute-1.amazonaws.com
2018-11-29 23:10:23.548910 I | etcdserver: data dir = ec2-35-174-16-155.compute-1.amazonaws.com.etcd
2018-11-29 23:10:23.548920 I | etcdserver: member dir = ec2-35-174-16-155.compute-1.amazonaws.com.etcd/member
2018-11-29 23:10:23.548926 I | etcdserver: heartbeat = 100ms
2018-11-29 23:10:23.548938 I | etcdserver: election = 1000ms
2018-11-29 23:10:23.548943 I | etcdserver: snapshot count = 10000
2018-11-29 23:10:23.548970 I | etcdserver: advertise client URLs = http://ec2-35-174-16-155.compute-1.amazonaws.com:2379
2018-11-29 23:10:23.548979 I | etcdserver: initial advertise peer URLs = http://ec2-35-174-16-155.compute-1.amazonaws.com:2380
2018-11-29 23:10:23.549002 I | etcdserver: initial cluster = ec2-107-23-238-236.compute-1.amazonaws.com=http://ec2-107-23-238-236.compute-1.amazonaws.com:2380,ec2-18-212-141-207.compute-1.amazonaws.com=http://ec2-18-212-141-207.compute-1.amazonaws.com:2380,ec2-18-232-141-137.compute-1.amazonaws.com=http://ec2-18-232-141-137.compute-1.amazonaws.com:2380,ec2-18-234-71-213.compute-1.amazonaws.com=http://ec2-18-234-71-213.compute-1.amazonaws.com:2380,ec2-35-174-16-155.compute-1.amazonaws.com=http://ec2-35-174-16-155.compute-1.amazonaws.com:2380
2018-11-29 23:10:23.554162 I | etcdserver: starting member 3474e3739df12d31 in cluster d4e906640f16da25
2018-11-29 23:10:23.554190 I | raft: 3474e3739df12d31 became follower at term 0
2018-11-29 23:10:23.554201 I | raft: newRaft 3474e3739df12d31 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2018-11-29 23:10:23.554208 I | raft: 3474e3739df12d31 became follower at term 1
2018-11-29 23:10:23.567704 I | rafthttp: starting peer 2d508dd0aa9ee691...
2018-11-29 23:10:23.567764 I | rafthttp: started HTTP pipelining with peer 2d508dd0aa9ee691
2018-11-29 23:10:23.569240 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 23:10:23.572367 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (writer)
2018-11-29 23:10:23.572389 I | rafthttp: started peer 2d508dd0aa9ee691
2018-11-29 23:10:23.572402 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream Message reader)
2018-11-29 23:10:23.572471 I | rafthttp: started streaming with peer 2d508dd0aa9ee691 (stream MsgApp v2 reader)
2018-11-29 23:10:23.572568 I | rafthttp: added peer 2d508dd0aa9ee691
2018-11-29 23:10:23.572592 I | rafthttp: starting peer a00c92baa5af8639...
2018-11-29 23:10:23.572613 I | rafthttp: started HTTP pipelining with peer a00c92baa5af8639
2018-11-29 23:10:23.574042 I | rafthttp: started streaming with peer a00c92baa5af8639 (writer)
2018-11-29 23:10:23.575086 I | rafthttp: started peer a00c92baa5af8639
2018-11-29 23:10:23.575110 I | rafthttp: added peer a00c92baa5af8639
2018-11-29 23:10:23.575129 I | rafthttp: starting peer b230326f6c733c35...
2018-11-29 23:10:23.575153 I | rafthttp: started HTTP pipelining with peer b230326f6c733c35
2018-11-29 23:10:23.577651 I | rafthttp: started peer b230326f6c733c35
2018-11-29 23:10:23.577681 I | rafthttp: added peer b230326f6c733c35
2018-11-29 23:10:23.577698 I | rafthttp: starting peer cecac79a73f45067...
2018-11-29 23:10:23.577782 I | rafthttp: started streaming with peer a00c92baa5af8639 (writer)
2018-11-29 23:10:23.577817 I | rafthttp: started streaming with peer a00c92baa5af8639 (stream MsgApp v2 reader)
2018-11-29 23:10:23.577903 I | rafthttp: started HTTP pipelining with peer cecac79a73f45067
2018-11-29 23:10:23.578041 I | rafthttp: started streaming with peer a00c92baa5af8639 (stream Message reader)
2018-11-29 23:10:23.578397 I | rafthttp: started streaming with peer cecac79a73f45067 (writer)
2018-11-29 23:10:23.578542 I | rafthttp: started streaming with peer b230326f6c733c35 (writer)
2018-11-29 23:10:23.578558 I | rafthttp: started streaming with peer b230326f6c733c35 (writer)
2018-11-29 23:10:23.578578 I | rafthttp: started streaming with peer b230326f6c733c35 (stream MsgApp v2 reader)
2018-11-29 23:10:23.578691 I | rafthttp: started streaming with peer cecac79a73f45067 (writer)
2018-11-29 23:10:23.579897 I | rafthttp: started streaming with peer b230326f6c733c35 (stream Message reader)
2018-11-29 23:10:23.580918 I | rafthttp: started peer cecac79a73f45067
2018-11-29 23:10:23.580941 I | rafthttp: added peer cecac79a73f45067
2018-11-29 23:10:23.580957 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2018-11-29 23:10:23.581273 I | rafthttp: started streaming with peer cecac79a73f45067 (stream MsgApp v2 reader)
2018-11-29 23:10:23.581450 I | rafthttp: started streaming with peer cecac79a73f45067 (stream Message reader)
2018-11-29 23:10:23.583724 I | rafthttp: peer cecac79a73f45067 became active
2018-11-29 23:10:23.583747 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream MsgApp v2 writer)
2018-11-29 23:10:23.585293 I | rafthttp: peer 2d508dd0aa9ee691 became active
2018-11-29 23:10:23.585312 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream MsgApp v2 writer)
2018-11-29 23:10:23.585425 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream Message writer)
2018-11-29 23:10:23.585797 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream Message writer)
2018-11-29 23:10:23.585832 I | raft: 3474e3739df12d31 [term: 1] received a MsgVote message with higher term from 2d508dd0aa9ee691 [term: 2]
2018-11-29 23:10:23.585854 I | raft: 3474e3739df12d31 became follower at term 2
2018-11-29 23:10:23.585869 I | raft: 3474e3739df12d31 [logterm: 1, index: 5, vote: 0] cast MsgVote for 2d508dd0aa9ee691 [logterm: 1, index: 5] at term 2
2018-11-29 23:10:23.586008 I | etcdserver/membership: added member 2d508dd0aa9ee691 [http://ec2-107-23-238-236.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 23:10:23.586115 I | etcdserver/membership: added member 3474e3739df12d31 [http://ec2-35-174-16-155.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 23:10:23.586166 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream MsgApp v2 reader)
2018-11-29 23:10:23.586229 I | etcdserver/membership: added member a00c92baa5af8639 [http://ec2-18-212-141-207.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 23:10:23.586349 I | etcdserver/membership: added member b230326f6c733c35 [http://ec2-18-234-71-213.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 23:10:23.586427 I | rafthttp: established a TCP streaming connection with peer 2d508dd0aa9ee691 (stream Message reader)
2018-11-29 23:10:23.586469 I | etcdserver/membership: added member cecac79a73f45067 [http://ec2-18-232-141-137.compute-1.amazonaws.com:2380] to cluster d4e906640f16da25
2018-11-29 23:10:23.588122 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream MsgApp v2 reader)
2018-11-29 23:10:23.588213 I | rafthttp: established a TCP streaming connection with peer cecac79a73f45067 (stream Message reader)
2018-11-29 23:10:23.588289 I | raft: raft.node: 3474e3739df12d31 elected leader 2d508dd0aa9ee691 at term 2
2018-11-29 23:10:23.592178 I | etcdserver: published {Name:ec2-35-174-16-155.compute-1.amazonaws.com ClientURLs:[http://ec2-35-174-16-155.compute-1.amazonaws.com:2379]} to cluster d4e906640f16da25
2018-11-29 23:10:23.592267 E | etcdmain: forgot to set Type=notify in systemd service file?
2018-11-29 23:10:23.592282 I | embed: ready to serve client requests
2018-11-29 23:10:23.592530 N | embed: serving insecure client requests on 172.31.21.73:2379, this is strongly discouraged!
2018-11-29 23:10:23.619366 I | rafthttp: peer a00c92baa5af8639 became active
2018-11-29 23:10:23.619398 I | rafthttp: established a TCP streaming connection with peer a00c92baa5af8639 (stream MsgApp v2 reader)
2018-11-29 23:10:23.620118 I | rafthttp: established a TCP streaming connection with peer a00c92baa5af8639 (stream Message writer)
2018-11-29 23:10:23.620237 I | rafthttp: established a TCP streaming connection with peer a00c92baa5af8639 (stream MsgApp v2 writer)
2018-11-29 23:10:23.621325 I | rafthttp: established a TCP streaming connection with peer a00c92baa5af8639 (stream Message reader)
2018-11-29 23:10:23.816239 I | rafthttp: peer b230326f6c733c35 became active
2018-11-29 23:10:23.816287 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream Message reader)
2018-11-29 23:10:23.816311 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream MsgApp v2 reader)
2018-11-29 23:10:23.822002 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream MsgApp v2 writer)
2018-11-29 23:10:23.822117 I | rafthttp: established a TCP streaming connection with peer b230326f6c733c35 (stream Message writer)
2018-11-29 23:10:23.822746 N | etcdserver/membership: set the initial cluster version to 3.1
2018-11-29 23:10:23.822798 I | etcdserver/api: enabled capabilities for version 3.1
2018-11-29 23:10:28.581725 W | rafthttp: the clock difference against peer cecac79a73f45067 is too high [1.329591657s > 1s]
